gc_sample_id
BA4A-270-Bic-A-0.5ml
BA1B-20-Bic-A-0.5ml
BA1B-20-Form-A-0.5ml
BA4A-150-Form-A-0.5ml
BA4A-270-AC-A-0.5ml
BA4A-270-Form-A-0.5ml
BA4A-150-Bic-A-0.5ml
BA1B-20-AC-A-0.5ml
BA3A-20-Form-A-0.5ml
BA3A-20-Bic-A-0.5ml
BA3A-150-Form-A-0.5ml
BA3A-150-AC-A-0.5ml
BA3A-270-AC-A-0.5ml
BA3A-270-Form-A-0.5ml
BA3A-150-Bic-A-0.5ml
BA3A-270-Bic-A-0.5ml
BA1B-150-AC-A-0.5ml
BA1B-150-AC-A-0.5ml
BA4A-20-AC-A-0.5ml
BA4A-20-Form-A-0.5ml
BA1B-150-Form-A-0.5ml
BA4A-150-AC-A-0.5ml
BA4A-20-Bic-A-0.5ml
BA1B-250-Form-A-0.5ml
BA3A-20-AC-A-0.5ml
BA1B-250-Bic-A-0.5ml
BA1B-250-Bic-A-0.5ml
BA1B-250-AC-A-0.5ml
BA1B-250-AC-A-0.5ml
BA1B-150-Bic-A-0.5ml
BA1B-150-Bic-A-0.5ml
