Run,Analysis,Identifier1,mass,area44,DIC_uM,d13C.scale,d13C.error.S,d18O.scale,d18O.error.S,PercentCO3,Do_not_use,Why_culled,well,type,depth
1,26760,blank_water_1,1,0.170424740705588,-0.386413563017544,-0.0772749378725804,0.15462869214551,91.6097842170195,1.70325827912582,4999.32462133413,NA,NA,NA,NA,NA
1,26762,BA1B20-f,1,17.6261460475988,949.375889495459,21.1146689943562,0.15462869214551,-0.277113023522476,1.70325827912582,14069.3881164995,NA,NA,BA1B,Falcon Tube,20
1,26763,BA1B150-f,1,32.0437995675287,1733.83753224524,-10.9532817039853,0.15462869214551,-0.703943633131217,1.70325827912582,21560.8592839166,NA,NA,BA1B,Falcon Tube,150
1,26764,BA1B250-f,1,44.0240847300175,2385.68245043429,-7.91654000028606,0.15462869214551,-0.810755596593136,1.70325827912582,27785.863980288,NA,NA,BA1B,Falcon Tube,250
1,26765,BA4A-20-f,1,33.3063308079315,1802.53160437704,-13.9750813870694,0.15462869214551,-0.350476988026463,1.70325827912582,22216.8756302913,NA,NA,BA4A,Falcon Tube,20
1,26766,BA4A-150-f,1,16.5623851207024,891.496870343513,-13.518058261397,0.15462869214551,0.105202089155687,1.70325827912582,13516.6536301385,NA,NA,BA4A,Falcon Tube,150
1,26767,BA4A-270-f,1,31.164485032355,1685.9942043554,-14.2399243538,0.15462869214551,-0.446715480996696,1.70325827912582,21103.9638897917,NA,NA,BA4A,Falcon Tube,270
1,26768,BA3A-20-f,1,2.22725003448104,111.525039058174,-6.10122533796132,0.15462869214551,6.7783369289817,1.70325827912582,6068.05937511589,NA,NA,BA3A,Falcon Tube,20
1,26772,BA3A-150-f,1,1.06339085427283,48.1996939752533,-15.2723192819007,0.15462869214551,14.7181117170495,1.70325827912582,5463.31343088779,NA,NA,BA3A,Falcon Tube,150
1,26773,BA3A-270-f,1,0.726588658017386,29.8743538780554,-14.8199215923843,0.15462869214551,21.8590552183506,1.70325827912582,5288.30964550187,NA,NA,BA3A,Falcon Tube,270
1,26774,BA1B20-e,1,18.055673465514,972.746390346939,20.4758164097303,0.15462869214551,-0.356475701343289,1.70325827912582,14292.5723026418,NA,NA,BA1B,Anaerobic,20
1,26775,BA1B150-e,1,33.726030711124,1825.36739211914,-13.5208902996732,0.15462869214551,-1.43833300507337,1.70325827912582,22434.9533999775,NA,NA,BA1B,Anaerobic,150
1,26776,BA1B250-e,1,41.7620680532894,2262.60657572967,-7.8173855332463,0.15462869214551,-0.828333666334603,1.70325827912582,26610.5109527998,NA,NA,BA1B,Anaerobic,250
1,26777,BA4A-20-e,1,33.4495864605655,1810.32611576844,-14.0068710363963,0.15462869214551,-0.298519288602312,1.70325827912582,22291.3118476545,NA,NA,BA4A,Anaerobic,20
1,26778,BA4A-150-e,1,18.3854315724138,990.688462951962,-13.7684453042362,0.15462869214551,0.0609925451383262,1.70325827912582,14463.9159506665,NA,NA,BA4A,Anaerobic,150
1,26779,BA4A-270-e,1,26.8229403864324,1449.77162900331,-13.8567526932348,0.15462869214551,-0.200484759314332,1.70325827912582,18848.0797064172,NA,NA,BA4A,Anaerobic,270
1,26780,BA3A-20-e,1,0.785514554862495,33.0805001331114,13.442540062113,0.15462869214551,20.179314303036,1.70325827912582,5318.92778018094,NA,NA,BA3A,Anaerobic,20
1,26784,BA3A-150-e,1,1.43083946698264,68.1924994587542,2.0492324287287,0.15462869214551,10.9283469457149,1.70325827912582,5654.2412183962,NA,NA,BA3A,Anaerobic,150
1,26785,BA3A-270-e,1,1.0916233620353,49.735819072703,-3.12728126601371,0.15462869214551,14.5085864424476,1.70325827912582,5477.98315627647,NA,NA,BA3A,Anaerobic,270
1,26786,BA1D-120,1,20.0464739152102,1081.06544441471,-15.7989069002149,0.15462869214551,-0.24657388032246,1.70325827912582,15327.0002800074,NA,NA,BA1D,Anaerobic,20
1,26787,blank_water_2,1,0.184628562953569,0.386413563017545,2.58981010894742,0.15462869214551,85.015519603703,1.70325827912582,5006.70498490652,NA,NA,NA,NA,NA
1,26789,IAEA-C2,44,6.84921863874821,363.005425865178,-7.98808200370763,0.15462869214551,-1.4105447890627,1.70325827912582,192.492113252243,NA,NA,NA,NA,NA
1,26790,IAEA-C2,66,9.74961949611617,520.815656084582,-8.12148353495979,0.15462869214551,-2.08445843261188,1.70325827912582,151.16231843351,NA,NA,NA,NA,NA
1,26791,IAEA-C2,88,12.7113425504925,681.962414771374,-8.14106785862654,0.15462869214551,-2.38489148270872,1.70325827912582,130.859503546303,NA,NA,NA,NA,NA
1,26795,IAEA-C2,133,19.6454880257092,1059.2478824125,-8.34405071988694,0.15462869214551,-2.79827160746636,1.70325827912582,113.674032989746,NA,NA,NA,NA,NA
1,26796,IAEA-C2,160,20.2237880019534,1090.7130683902,-8.35535345768649,0.15462869214551,-2.74409545581935,1.70325827912582,96.3695837355432,NA,NA,NA,NA,NA
1,26797,IAEA-C2,174,19.3041889644604,1040.67786879093,-8.28279241406764,0.15462869214551,-2.61713646979799,1.70325827912582,85.8695747872713,NA,NA,NA,NA,NA
1,26798,IAEA-C2,244,36.6959974146321,1986.96268610547,-8.36404416264419,0.15462869214551,-3.04706619443411,1.70325827912582,98.2711480693449,NA,NA,NA,NA,NA
1,26799,IAEA-C2,296,47.8058271342952,2591.44629784644,-8.38948356348894,0.15462869214551,-2.91926433428004,1.70325827912582,100.509704903494,NA,NA,NA,NA,NA
1,26800,IAEA-C2,494,68.1566694497447,3698.73155560709,-8.30826733789626,0.15462869214551,-2.80063288669607,1.70325827912582,81.6300662940975,NA,NA,NA,NA,NA
1,26801,IAEA-C2,593,21.9603572896354,1185.19945580968,-8.22485404457847,0.15462869214551,-2.10716229100274,1.70325827912582,27.5235444072698,NA,NA,NA,NA,NA
1,26802,IAEA-C2,1002,36.2247327833809,1961.32127182886,-8.37980183429597,0.15462869214551,-2.21578085485986,1.70325827912582,23.6859172831064,NA,NA,NA,NA,NA
1,26803,CO2REF,1,21.2423491159326,1146.13277476674,1373.57164491889,0.15462869214551,7569.33176172514,1.70325827912582,15948.3818781751,NA,NA,NA,NA,NA
1,26804,CO2REF,1,23.2912227811258,1257.61158086805,928.144179377599,0.15462869214551,6426.84007495127,1.70325827912582,17012.9849335375,NA,NA,NA,NA,NA
1,26808,1,NA,33.4684489803132,1811.35242169313,-2.26593243267709,0.15462869214551,-0.115416475976801,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26809,2,NA,34.3093999196635,1857.10839401157,-4.51554735800078,0.15462869214551,-0.153429370418812,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26810,6,NA,31.5265769922896,1705.69555543338,-2.73092825715807,0.15462869214551,-0.093561163061084,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26811,9,NA,31.4891130233716,1703.65714838186,-1.74505202956024,0.15462869214551,-0.08267920640492,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26812,13,NA,48.001147410636,2602.07363499454,-5.7453425828716,0.15462869214551,-0.298581524572495,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26813,1b,NA,27.2665847666709,1473.9102309497,-1.15047029179461,0.15462869214551,0.0210982251134122,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26814,2b,NA,34.0543037060064,1843.2286600765,-4.37623302784377,0.15462869214551,-0.0914520913078971,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26815,6b,NA,34.264705368129,1854.67657240688,-1.95360150816702,0.15462869214551,-0.0592496335770343,1.70325827912582,NA,NA,NA,NA,NA,NA
1,26816,9b,NA,34.8731250110366,1887.78056342017,-6.00644573967214,0.15462869214551,-0.0637129641333889,1.70325827912582,NA,NA,NA,NA,NA,NA
