,1,2,3,4,5,6,7,8,9,10,11,12
A,0.173,0.186,0.169,0.125,0.138,0.125,0.141,0.156,0.127,0.041,0.042,0.043
B,0.048,0.047,0.047,0.041,0.042,0.042,0.042,0.042,0.046,0.043,0.048,0.042
C,0.041,0.042,0.041,0.045,0.043,0.045,0.045,0.043,0.045,0.047,0.045,0.045
D,0.045,0.045,0.046,0.05,0.045,0.044,0.045,0.044,0.045,0.047,0.045,0.047
E,0.045,0.046,0.046,0.046,0.045,0.044,0.044,0.045,0.046,0.046,0.045,0.045
F,0.045,0.046,0.045,0.044,0.044,0.046,0.045,0.044,0.048,0.045,0.047,0.045
G,0.046,0.045,0.044,0.045,0.046,0.048,0.046,0.046,0.047,0.045,0.046,0.046
H,0.122,0.091,0.112,0.084,0.093,0.085,0.081,0.095,0.085,0.034,0.035,0.035
