,1,2,3,4,5,6,7,8,9,10,11,12
A,0.132,0.157,0.142,0.106,0.116,0.106,0.127,0.132,0.106,0.038,0.04,0.038
B,0.046,0.045,0.043,0.039,0.04,0.039,0.04,0.039,0.039,0.04,0.044,0.039
C,0.039,0.04,0.039,0.045,0.044,0.045,0.045,0.043,0.045,0.047,0.045,0.045
D,0.045,0.045,0.046,0.049,0.045,0.044,0.044,0.044,0.045,0.047,0.046,0.047
E,0.045,0.046,0.046,0.046,0.045,0.044,0.045,0.045,0.046,0.046,0.046,0.046
F,0.045,0.046,0.045,0.045,0.044,0.046,0.048,0.044,0.047,0.045,0.047,0.045
G,0.072,0.057,0.061,0.049,0.054,0.052,0.048,0.055,0.05,0.036,0.036,0.036
H,0.07,0.064,0.076,0.062,0.068,0.064,0.057,0.068,0.062,0.034,0.034,0.036
