,1,2,3,4,5,6,7,8,9,10,11,12
A,0.945,1.148,1.213,0.234,0.362,0.334,0.184,0.193,0.212,0.131,0.124,0.099
B,0.102,0.095,0.115,0.085,0.085,0.094,0.08,0.074,0.077,0.054,0.053,0.062
C,0.051,0.054,0.057,0.044,0.045,0.046,0.043,0.042,0.043,0.042,0.043,0.043
D,0.042,0.041,0.043,0.101,0.105,0.116,0.063,0.056,0.066,0.062,0.07,0.075
E,0.043,0.042,0.042,0.047,0.046,0.047,0.041,0.041,0.042,0.047,0.051,0.05
F,0.047,0.046,0.045,0.048,0.046,0.049,0.148,0.15,0.17,0.186,0.198,0.208
G,0.059,0.071,0.06,0.066,0.064,0.066,0.192,0.174,0.161,0.102,0.102,0.105
H,0.045,0.044,0.044,0.176,0.241,0.247,0.14,0.116,0.132,0.035,0.035,0.039
