,1,2,3,4,5,6,7,8,9,10,11,12
A,0.258,0.245,0.249,0.178,0.2,0.178,0.193,0.22,0.179,0.041,0.04,0.042
B,0.041,0.041,0.042,0.035,0.036,0.036,0.036,0.036,0.036,0.037,0.039,0.042
C,0.035,0.036,0.035,0.039,0.038,0.039,0.039,0.037,0.039,0.041,0.039,0.039
D,0.04,0.039,0.041,0.044,0.039,0.038,0.039,0.038,0.039,0.041,0.039,0.041
E,0.04,0.04,0.04,0.04,0.039,0.038,0.038,0.039,0.04,0.04,0.039,0.039
F,0.039,0.039,0.039,0.039,0.038,0.04,0.039,0.039,0.041,0.039,0.04,0.039
G,0.04,0.039,0.038,0.039,0.04,0.042,0.04,0.04,0.039,0.04,0.04,0.04
H,0.04,0.039,0.04,0.04,0.041,0.04,0.04,0.039,0.04,0.038,0.039,0.039
