Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	210.51162790697674	2.046511627906977	11.465116279069768	405.2093023255814	69.51162790697674	2.744186046511628	91.74418604651163	2695.860465116279	0.00962800875273523	43.0	10.961560047512831	5.107388059510224
red	2	327.4642857142857	2.9285714285714284	23.321428571428573	1095.9285714285713	222.64285714285714	8.75	180.67857142857142	4004.3928571428573	0.008863906604691385	28.0	8.851824318166711	3.999018006438905
red	3	231.3548387096774	2.193548387096774	22.967741935483872	531.9032258064516	237.67741935483872	5.129032258064516	87.29032258064517	4085.1935483870966	0.009392265193370166	31.0	9.108766969195871	4.3769070579003735
red	4	182.22413793103448	1.603448275862069	24.620689655172413	818.2758620689655	197.98275862068965	6.431034482758621	123.20689655172414	4702.810344827586	0.008722566122678672	58.0	15.25605120683469	5.196689038309158
red	5	187.8125	2.0	15.1875	294.125	156.9375	7.125	63.125	3584.5625	0.010536713862364174	16.0	4.47213595499958	4.47213595499958
red	6	880.2407407407408	8.555555555555555	13.777777777777779	1755.2592592592594	53.55555555555556	3.0	84.62962962962963	2749.8888888888887	0.00962600270861548	54.0	10.140717959012544	6.93591049285699
red	7	208.5	1.6730769230769231	10.153846153846153	165.30769230769232	32.34615384615385	4.596153846153846	26.01923076923077	2945.519230769231	0.007960472138347515	52.0	14.043117499673455	4.839222026863035
red	8	148.65384615384616	0.8076923076923077	8.807692307692308	361.96153846153845	12.538461538461538	2.6923076923076925	39.46153846153846	1558.8846153846155	0.005404014410705095	26.0	6.929272685134355	4.73779679984161
red	9	360.95	3.2	9.8	218.5	11.8	2.2	28.75	2363.6	0.008787587532610188	20.0	5.656854249492381	4.47213595499958
red	10	131.35211267605635	1.380281690140845	28.6056338028169	910.3380281690141	150.11267605633802	6.845070422535211	158.67605633802816	4858.774647887324	0.010398981324278437	71.0	18.406138997083552	5.5243597180874096
red	11	171.53571428571428	1.3214285714285714	9.821428571428571	185.03571428571428	11.785714285714286	1.6071428571428572	37.892857142857146	2136.3928571428573	0.007644628099173554	28.0	7.609893012832231	4.695605605959318
red	12	453.8695652173913	4.804347826086956	14.978260869565217	171.8695652173913	11.195652173913043	3.9565217391304346	29.26086956521739	3162.021739130435	0.010474430067775724	46.0	10.381410489508134	5.678154552464768
red	13	314.36842105263156	3.0	10.157894736842104	446.05263157894734	17.07894736842105	2.4473684210526314	57.1578947368421	2218.315789473684	0.00945273631840796	38.0	12.702403585735016	5.064752040150505
