Group	ROI	12C	13C	14N_12C	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2516.1759530791787	35.83577712609971	2806.7008797653957	13229.953079178886	0.014042167871703768	341.0	66.94066831839184	7.128150626297545
red	2	3239.923076923077	43.120879120879124	8532.510989010989	13493.824175824177	0.013134420281365793	182.0	35.44040214727393	7.4749911403350735
red	3	2428.2447368421053	32.38157894736842	4789.7131578947365	13282.886842105263	0.013159892966916853	380.0	76.0689020879412	7.169551418686309
red	4	2022.6588235294118	25.96941176470588	5391.955294117647	12408.230588235294	0.012676488255555798	425.0	81.09824471011761	7.257302378284452
red	5	1837.5104166666667	25.135416666666668	5798.510416666667	11892.083333333334	0.013494469113156687	96.0	19.63077950386836	6.263778941346621
red	6	4870.402116402116	71.994708994709	5792.148148148148	13734.465608465609	0.014566760124310442	189.0	38.337234177537745	7.103035312403104
red	7	2136.7916666666665	29.38888888888889	5279.708333333333	12898.152777777777	0.013567146475170712	72.0	19.5147459030653	5.072194936573167
red	8	2572.0244897959183	34.18775510204082	3617.8367346938776	11370.902040816327	0.013117793905300053	245.0	49.51778005998837	7.094008138913764
red	9	1927.05	25.95	5259.875	13989.725	0.013287250384024578	40.0	10.863045811391588	4.641576854863836
red	10	2393.0	33.85507246376812	4977.454106280194	9945.975845410629	0.013950183036434104	207.0	39.32370337397879	7.610099675355404
red	11	1991.585185185185	20.85925925925926	3799.037037037037	13761.481481481482	0.010365135453474675	135.0	24.378726563063516	8.66603328313142
red	12	2823.826923076923	37.55769230769231	7929.788461538462	13209.884615384615	0.013125705683101242	104.0	20.43703412510976	6.722025314946333
red	13	3223.960396039604	42.603960396039604	5691.40594059406	13325.227722772277	0.013042437174734712	202.0	38.58523565737436	6.987959943169882
red	14	2955.6785714285716	43.66836734693877	6696.989795918367	10515.020408163266	0.014559291818627184	196.0	37.12725636207839	8.099263670797438
red	15	1774.934065934066	18.197802197802197	3013.087912087912	11830.967032967033	0.010148613451815535	91.0	18.038190951412574	6.570717261719092
red	16	2340.715277777778	30.46527777777778	5956.083333333333	11628.013888888889	0.012848147605798799	144.0	41.637077398763445	4.930419110274752
red	17	3624.061224489796	48.87755102040816	7425.469387755102	12801.42857142857	0.013307477746785647	49.0	8.561629236327253	7.374187283861683
red	18	1862.0675675675675	27.013513513513512	6347.851351351352	13600.364864864865	0.014299816870779443	148.0	29.027608203651766	7.011094721385197
red	19	2273.9478260869564	30.356521739130436	5487.008695652174	11849.08695652174	0.013173833468556011	115.0	29.84243358910994	6.595826185931952
red	20	3275.257575757576	42.32727272727273	4781.393939393939	13338.80606060606	0.012758459741158912	330.0	57.121902983870974	11.25662948251206
red	21	2983.3	39.285185185185185	5858.262962962963	11352.614814814815	0.012997213569938904	270.0	56.944588895556926	7.057762552768995
red	22	1915.4207317073171	24.603658536585368	4778.365853658536	11194.890243902439	0.01268213877119976	164.0	32.73023413333396	7.130220365788669
red	23	1263.2738853503186	15.770700636942674	4167.4331210191085	13456.40127388535	0.012330063243862358	157.0	31.374123505429928	6.663939984789144
red	24	3126.285714285714	40.585034013605444	5257.9455782312925	11469.340136054421	0.012815500612205443	147.0	28.627437863975356	6.6546745440631385
red	25	1137.2018348623853	16.30275229357798	3717.4495412844035	13675.137614678899	0.014133235771323131	109.0	19.18702251924013	8.014941019566107
red	26	1431.1815384615384	17.701538461538462	765.88	12161.126153846153	0.012217368498174721	325.0	60.03405447786443	7.402438107208623
red	27	2656.8761061946902	36.230088495575224	5384.469026548672	12273.893805309735	0.013452900062762676	113.0	22.405821982635423	6.87382027717364
red	28	5706.237804878048	59.21951219512195	2499.9573170731705	13858.457317073171	0.010271433632811054	164.0	20.27483013579546	10.406075567245306
red	29	3718.8846153846152	49.57692307692308	6587.73717948718	13060.942307692309	0.013155746070626658	156.0	29.88410095791952	7.395492150709502
red	30	2492.236641221374	34.213740458015266	2365.740458015267	13925.007633587786	0.013542217455017902	131.0	23.223978677073507	7.5974717472202835
red	31	4159.5352112676055	55.598591549295776	5252.838028169014	13749.922535211268	0.01319023171035287	142.0	27.80218195745685	6.823910635785244
red	32	3393.740740740741	44.31216931216931	3844.6296296296296	13663.222222222223	0.012888739781345415	189.0	38.031134692118485	6.5334404456255974
