Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	134.48	1.62	16.18	332.18	194.62	5.2	65.4	3383.04	0.011903012490815577	50.0	8.43845347529847	7.585598390715339
red	2	98.32558139534883	1.4186046511627908	17.093023255813954	364.86046511627904	190.34883720930233	5.441860465116279	66.34883720930233	3998.3720930232557	0.0142224294707391	43.0	8.98654959555116	6.319692960859623
red	3	127.58064516129032	1.6451612903225807	11.774193548387096	216.0	70.83870967741936	3.3225806451612905	30.870967741935484	3453.6451612903224	0.0127309036445332	31.0	6.545235236797687	6.05615928703715
red	4	90.06666666666666	0.8333333333333334	14.8	255.8	101.93333333333334	3.9	42.1	3673.2	0.009167583425009167	30.0	7.78077009500282	4.8526802509127585
red	5	149.36	1.8	21.69333333333333	362.48	319.85333333333335	5.88	76.69333333333333	4719.493333333333	0.01190791214607039	75.0	17.679361743248155	5.5491492357173575
red	6	135.025	1.575	16.825	327.95	197.025	4.5	52.15	3987.025	0.011530014641288434	40.0	10.133360665797541	5.03736058039001
red	7	109.04	1.38	20.66	265.36	276.42	5.12	51.16	4810.4	0.012497735917406267	50.0	10.447952481024183	6.0972361734035365
red	8	106.48275862068965	1.2988505747126438	19.60919540229885	333.0	205.64367816091954	3.9770114942528734	69.27586206896552	4468.402298850575	0.012050762503999148	87.0	24.500788295597502	4.731827807845324
red	9	102.12658227848101	1.2911392405063291	20.68354430379747	452.72151898734177	185.67088607594937	5.075949367088608	74.51898734177215	3895.215189873418	0.012484700122399021	79.0	13.274369292083742	7.691791491575665
