Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	3244.1803278688526	172.4153005464481	29.306010928961747	4058.55737704918	184.327868852459	42.36612021857923	165.20218579234972	5024.224043715847	0.05046406402692099	183.0	19.459618681144324	12.062561508524464
red	2	1729.5181818181818	16.863636363636363	14.963636363636363	3016.2545454545457	147.44545454545454	2.1272727272727274	33.24545454545454	6587.890909090909	0.009656328408866124	110.0	29.47713522062137	5.0715528140337485
red	3	1474.56	12.88	8.04	1348.16	46.92	0.8	36.4	5584.84	0.008659172806970365	25.0	7.059709679430177	4.540010929740135
red	4	1769.8333333333333	16.816666666666666	7.116666666666666	895.6	43.53333333333333	0.9666666666666667	24.916666666666668	6848.483333333334	0.009412401235086148	60.0	17.339289411988936	4.598325591217298
red	5	1251.717791411043	12.061349693251534	8.411042944785276	3637.552147239264	45.7239263803681	0.5950920245398773	13.50920245398773	5338.803680981595	0.009543874638342493	163.0	44.16544393288914	7.220618951294903
red	6	3103.078014184397	32.4113475177305	18.53191489361702	3634.0070921985816	144.25531914893617	2.2624113475177303	31.29078014184397	8589.95744680851	0.01033693429600275	141.0	38.16799630128272	5.401554973812464
red	7	1802.360465116279	17.6453488372093	12.866279069767442	6050.558139534884	37.54651162790697	0.8023255813953488	14.546511627906977	6005.569767441861	0.009695215642679394	172.0	45.90320405555172	5.1110142253965725
red	8	1161.0	12.027777777777779	27.38888888888889	2374.75	187.5	4.194444444444445	117.22222222222223	3735.6388888888887	0.010253617182504914	36.0	10.327955589886445	4.47213595499958
red	9	1023.6315789473684	10.701754385964913	18.912280701754387	2639.1929824561403	27.75438596491228	1.3333333333333333	17.0	4674.017543859649	0.010346523737639297	57.0	31.067891274009266	2.6898886264984454
red	10	1984.0	18.943396226415093	7.235849056603773	1738.3301886792453	44.83018867924528	0.37735849056603776	62.905660377358494	1857.6509433962265	0.009457779117525152	106.0	17.623775186419973	7.705226038649824
red	11	2002.8382352941176	17.352941176470587	9.485294117647058	2191.073529411765	61.455882352941174	1.161764705882353	74.63235294117646	2910.3970588235293	0.008589751989109941	68.0	12.898484172875825	6.871487563562165
red	12	2192.6696428571427	20.946428571428573	9.776785714285714	2023.705357142857	82.48214285714286	0.6071428571428571	77.77678571428571	2029.0714285714287	0.00946253907431683	112.0	18.798791083869286	7.802461981240924
