Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	4434.660714285715	57.88392857142857	1943.5625	127.46428571428571	190.73214285714286	6041.669642857143	0.012884441485397434	112.0	27.47185663637036	5.7893419924734
red	2	2091.095238095238	43.69047619047619	2583.285714285714	28.285714285714285	43.23809523809524	4045.1190476190477	0.020465977403776446	42.0	11.56600100534969	4.823031655472743
red	3	3736.75	74.96875	1339.28125	227.84375	61.25	5644.78125	0.01966796474687436	32.0	6.324555320336759	6.324555320336759
red	4	4305.71	68.31	4169.9	159.0	1757.31	6186.22	0.015617212541323542	100.0	16.990817728661167	8.154514878974306
red	5	4632.828193832599	2054.775330396476	7645.246696035242	90.57268722466961	500.82819383259914	6703.211453744493	0.30725136784082063	227.0	36.50053793924737	8.51597594032096
red	6	1994.360824742268	59.91752577319588	2858.8350515463917	10.938144329896907	37.51546391752577	4082.8041237113403	0.029167189421122626	97.0	23.314551243209774	5.563476048644097
red	7	2785.016666666667	44.625	3292.6583333333333	8.866666666666667	25.775	4617.341666666666	0.015770548096490426	120.0	22.040401549423837	7.08689162281241
red	8	3514.818181818182	1587.4545454545455	6534.345454545454	36.127272727272725	381.4727272727273	5176.854545454546	0.3111269487750557	55.0	11.767083748918171	6.279696093056772
red	9	9154.697478991597	1025.3361344537816	12227.29411764706	139.07563025210084	447.99159663865544	6758.008403361345	0.10072030932192197	119.0	16.94420967964282	9.290517453300424
red	10	4970.578512396694	2304.5454545454545	8848.140495867769	73.12396694214875	569.5289256198347	6669.3140495867765	0.31677060968544457	121.0	22.271586526962793	7.018504544884694
red	11	5699.873873873874	2448.108108108108	9575.333333333334	65.62162162162163	595.081081081081	6401.189189189189	0.300455758680091	111.0	20.469942129618186	7.020976155163054
red	12	4214.125	1929.9423076923076	7406.153846153846	51.41346153846154	471.625	5905.961538461538	0.3141147730064806	104.0	19.294163986772666	7.084550610539792
red	13	6069.052478134111	82.17201166180757	13059.889212827988	113.5539358600583	901.9650145772595	5759.314868804665	0.013358642949565612	343.0	56.859507405482574	8.490329300613158
red	14	7435.461538461538	1976.3626373626373	9312.362637362638	170.9010989010989	616.7472527472528	8418.42857142857	0.20998720337756108	91.0	17.659639386615996	6.641215217144128
red	15	5202.861538461539	2318.2871794871794	8877.676923076922	73.76923076923077	600.7538461538461	6711.548717948718	0.3082357850410194	195.0	29.86480875031524	8.592784560261792
red	16	4572.992481203008	2012.578947368421	8474.15037593985	48.73684210526316	501.1503759398496	5801.496240601504	0.30560430012752876	133.0	23.578284390464976	7.2942446880959215
red	17	5467.379310344828	78.23563218390805	12770.17816091954	100.3735632183908	934.1436781609195	5711.0344827586205	0.014107656769302037	174.0	29.139621908256593	7.897255660093715
red	18	4878.016666666666	378.35	5546.316666666667	36.43333333333333	377.06666666666666	6154.316666666667	0.07197937738995884	60.0	11.316112344646001	6.7946908410591105
red	19	6815.437125748503	2893.868263473054	11538.988023952095	62.74251497005988	657.4011976047905	6433.245508982036	0.2980510085392493	167.0	27.49759088112782	8.081762705854896
red	20	5777.709401709401	2427.4957264957266	6277.876068376068	179.7991452991453	570.3119658119658	8042.115384615385	0.2958482680891533	234.0	36.387075153867244	8.551437517229939
red	21	2786.0459770114944	615.3333333333334	3876.448275862069	37.701149425287355	438.0574712643678	5500.597701149425	0.18090700189240336	87.0	16.940438070747874	6.686654265132822
red	22	2621.0862068965516	363.6896551724138	2734.7758620689656	42.37931034482759	623.3793103448276	5280.137931034483	0.12184822980989735	58.0	10.9034022887044	6.784468815154422
red	23	5518.5931034482755	2376.041379310345	8931.937931034483	63.56551724137931	589.2965517241379	6133.455172413793	0.3009691435999308	145.0	29.83013181714756	6.4447234621868885
red	24	2477.684210526316	26.0	588.7368421052631	175.73684210526315	37.0	5458.421052631579	0.010384696237124237	19.0	5.544698233777089	4.2956952169149805
red	25	9316.173652694612	125.53293413173652	12816.580838323353	69.05389221556887	1037.62874251497	7075.053892215569	0.013295576702932905	167.0	19.231907718550357	11.119654826537849
red	26	3016.5625	1307.34375	6720.71875	42.46875	400.90625	5682.8125	0.30235247353015576	32.0	7.527549648468683	5.35096919163613
red	27	4216.8821292775665	1836.6692015209126	6873.448669201521	48.133079847908746	477.893536121673	5565.9923954372625	0.3034035892578532	263.0	36.04316410643626	10.039493660849047
red	28	6219.173184357542	85.51396648044692	9455.972067039105	118.25698324022346	1503.9385474860335	6489.944134078212	0.013563554294534793	179.0	33.10047534193452	7.155985682582693
red	29	3348.127659574468	689.8936170212766	6559.234042553191	55.1063829787234	300.1914893617021	5197.765957446809	0.17084942593539074	47.0	8.557122539474957	6.937325949343425
red	30	4683.870056497175	55.3728813559322	7436.807909604519	35.40677966101695	663.0282485875706	4900.35593220339	0.011683908607777828	177.0	32.40378972202405	7.745165002692897
red	31	3046.684210526316	503.86842105263156	5267.4473684210525	24.55263157894737	649.0263157894736	4868.789473684211	0.14191267482452694	38.0	7.455128930368747	6.407232755171875
red	32	3275.84375	301.78125	3705.1875	83.46875	261.875	5170.90625	0.08435239858844903	32.0	6.324555320336759	6.324555320336759
