Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1558.375	22.25	349.53125	39.375	24.34375	4715.3125	0.014076710162119414	32.0	6.324555320336759	6.324555320336759
red	2	5494.276923076923	2427.502564102564	7493.148717948718	81.96410256410256	573.6461538461539	6719.8	0.3064339985771133	195.0	38.047663124992496	6.761440643570508
red	3	3918.3677685950415	1727.3842975206612	7414.537190082645	54.33057851239669	449.92148760330576	6064.326446280992	0.30596177042345885	242.0	40.101056764254146	9.140827308552172
red	4	5292.20987654321	1079.4814814814815	8468.901234567902	81.61728395061728	289.5308641975309	5124.691358024691	0.1694183570461164	81.0	16.347350860846227	6.34036129951357
red	5	2814.9555555555557	793.2222222222222	5224.422222222222	66.64444444444445	711.8666666666667	5187.7555555555555	0.21984011627906977	45.0	8.275517128497286	6.884426078387912
red	6	4009.336956521739	1746.4673913043478	7636.20652173913	37.83695652173913	484.2717391304348	4996.934782608696	0.3034271642614072	92.0	17.196614950993155	6.8591326542006374
red	7	6876.32	670.4	8665.04	98.9	306.82	5804.34	0.08883329446435008	50.0	10.481689709025742	6.069182881056052
red	8	5947.642857142857	1342.767857142857	6546.482142857143	47.589285714285715	243.14285714285714	5651.142857142857	0.18418274494627238	56.0	10.875923606099589	6.546536707079771
red	9	5123.793233082707	52.838345864661655	5944.81954887218	7.913533834586466	132.28947368421052	4400.233082706767	0.010207090278463657	266.0	54.69906156906894	7.387745122678577
red	10	2038.94	21.48	1981.7	37.18	220.86	4961.8	0.010425058968559808	50.0	10.481689709025742	6.069182881056053
