Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	7298.19696969697	162.0530303030303	12922.136363636364	232.62878787878788	928.6515151515151	7534.772727272727	0.021722198358370068	132.0	27.17031502805967	6.411570235361515
red	2	4912.815533980583	104.37864077669903	15159.509708737864	86.62135922330097	783.6359223300971	6262.257281553398	0.020804185993409073	206.0	54.30365765267899	5.097108919239096
red	3	5595.184615384615	121.81538461538462	14152.476923076923	126.0	706.7846153846153	6275.9384615384615	0.021307571211366907	65.0	16.451988101665087	5.131272485958593
red	4	4088.7764705882355	76.84705882352941	17029.55294117647	108.12941176470588	784.4	4712.835294117647	0.018447912606826745	85.0	19.47646854929899	5.829507612769449
red	5	4377.147540983607	84.1311475409836	14185.737704918032	62.721311475409834	570.4016393442623	5354.5901639344265	0.018858079356796918	122.0	31.470346786812332	5.169678649303728
red	6	4068.0	72.21666666666667	16157.833333333334	184.53333333333333	944.9	7878.25	0.01744272642736089	60.0	13.26171271468984	6.09647241222609
red	7	4587.960451977401	95.42937853107344	16375.502824858757	121.61016949152543	867.5932203389831	7838.3785310734465	0.020376133950974717	177.0	28.022448893700115	8.238844438824891
red	8	5853.503816793893	124.16030534351145	13070.709923664122	121.4885496183206	853.7480916030535	8765.763358778626	0.020770706216781554	131.0	33.564213586696305	5.248340265521038
red	9	2116.6202531645567	36.0253164556962	5553.202531645569	39.59493670886076	462.17721518987344	917.2278481012659	0.016735368313350072	79.0	19.01584222835083	5.518875891139152
red	10	5386.8	114.64137931034483	13855.062068965517	148.5655172413793	813.6620689655173	7108.165517241379	0.020838426042579437	145.0	33.61031905550703	5.676905983743045
red	11	4061.125	80.9375	16799.40625	103.59375	1136.0	5872.625	0.01954038597920722	64.0	15.872778333147775	5.369203431306597
red	12	2155.55	20.75	398.85	13.5	362.1	668.65	0.009534531084868814	20.0	5.656854249492381	4.47213595499958
red	13	4252.0344827586205	41.96551724137931	2834.689655172414	36.724137931034484	1247.3793103448277	5633.137931034483	0.009773059441401796	29.0	6.728462016125951	5.500630044211441
red	14	8981.985436893205	95.43203883495146	2121.1796116504856	6.412621359223301	163.23300970873785	8252.699029126214	0.010513126568225426	206.0	32.13980605790215	9.337018342182958
red	15	4804.696721311476	95.50819672131148	13379.672131147541	257.4918032786885	893.4180327868852	7633.311475409836	0.01949065361937022	122.0	29.52410476420929	5.487902997727572
red	16	9166.658536585366	94.58536585365853	5786.390243902439	80.60975609756098	315.7682926829268	6030.048780487805	0.010213030436305505	82.0	11.920845230868506	8.906644103361273
red	17	8423.621359223302	87.27184466019418	3663.4368932038833	9.116504854368932	211.71844660194174	6744.155339805825	0.010254134621307701	103.0	18.760756382713627	7.796116006923762
red	18	8854.300970873786	90.94174757281553	1709.1456310679612	14.83495145631068	91.20388349514563	7264.26213592233	0.010166493010332551	103.0	17.14950993780344	7.817847592473625
red	19	9651.684615384615	100.44615384615385	2464.7615384615383	15.176923076923076	112.38461538461539	7219.746153846154	0.010299918676549582	130.0	21.251778170172596	7.923497098035707
red	20	6203.951219512195	62.34146341463415	3239.9268292682927	5.634146341463414	124.95121951219512	5593.926829268293	0.009948699585081622	41.0	7.904831386074629	6.692019367026035
red	21	2455.787878787879	23.818181818181817	7441.030303030303	98.84848484848484	343.3030303030303	6215.363636363636	0.00960563139306097	33.0	8.372143871642557	4.996688381265987
red	22	9572.09589041096	101.53881278538813	1460.849315068493	6.538812785388128	82.10045662100457	6453.442922374429	0.010496448946106868	219.0	25.79438636139297	11.22493966517983
red	23	8169.119047619048	86.02380952380952	4944.5952380952385	28.095238095238095	276.3333333333333	5968.357142857143	0.010420632448459258	42.0	7.4699009779523635	7.1429294450939995
red	24	8654.533333333333	88.22666666666667	6574.76	6.8933333333333335	366.73333333333335	8235.746666666666	0.010091397529689327	75.0	16.80444767030925	5.755172035873882
red	25	6455.9672131147545	66.55737704918033	2004.7377049180327	7.032786885245901	144.31147540983608	5966.737704918033	0.010204235511744925	61.0	14.345065162373631	5.723760373968933
red	26	10120.411764705883	107.38997821350763	4401.921568627451	24.389978213507625	257.2135076252723	4497.063180827887	0.010499810312401948	459.0	40.628915241470345	15.404413485810453
red	27	7735.413043478261	80.52173913043478	7471.282608695652	9.978260869565217	370.2826086956522	5788.565217391304	0.01030225320067977	46.0	10.388370237241856	5.723835524764377
red	28	2800.618473895582	56.54216867469879	9263.044176706828	82.04016064257029	822.3493975903615	6036.220883534136	0.019789635847648337	249.0	64.75180231542433	5.420010468452482
red	29	9610.324324324325	100.54954954954955	1680.078078078078	6.036036036036036	73.15015015015015	6239.129129129129	0.010354325558698477	333.0	31.64954174961282	15.46341461637588
red	30	4679.964028776978	92.25179856115108	16223.424460431655	125.76258992805755	1299.928057553957	6027.8705035971225	0.01933101978177038	139.0	40.877362421442015	4.84230825055817
red	31	3429.88125	67.48125	14060.65625	108.05	725.35	6158.03125	0.019294897226123972	160.0	48.782278152320565	4.3832736932146865
red	32	3865.0533333333333	79.01333333333334	14312.346666666666	151.74666666666667	996.2222222222222	7521.435555555556	0.020033467994117746	225.0	54.90206379647731	6.082675927837315
red	33	1486.5181818181818	22.651515151515152	2825.069696969697	132.37878787878788	285.41515151515154	8304.266666666666	0.015009256544839025	330.0	88.45331068444086	5.678959421374959
red	34	4524.202127659574	88.45744680851064	15844.063829787234	151.37234042553192	1085.8085106382978	5911.18085106383	0.01917710279296109	94.0	26.645890567644354	4.706039747804316
