Group	ROI	12C	13C	14N_12C	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	4354.445482866044	70.45794392523365	5359.0342679127725	7655.93769470405	0.01592304670394271	321.0	62.537737112168024	7.553314153193757
red	2	5174.329479768786	82.80635838150289	6989.791907514451	6266.222543352601	0.015751230504752967	346.0	69.40582655486608	6.949381401849918
red	3	4440.049242424242	70.3465909090909	4713.412878787879	7508.876893939394	0.015596544850721544	528.0	104.3418352916719	9.057192058468228
red	4	5102.280612244898	73.66836734693878	6462.035714285715	7054.581632653061	0.014232823321366682	196.0	37.22594149662788	7.0722604727504095
red	5	4338.817010309278	63.55154639175258	7504.515463917526	6202.26030927835	0.014435762379553182	388.0	73.13661439802785	11.43307002665252
red	6	5960.379746835443	94.53164556962025	10472.759493670887	6770.784810126583	0.015612391237994891	79.0	27.749669998282556	4.165042512001443
red	7	5690.903846153846	89.51923076923077	6507.875	7948.134615384615	0.015486622618786222	208.0	40.26103390405692	6.8999586985334895
red	8	7538.372197309417	104.71300448430493	7613.511210762332	9147.13004484305	0.013700358130212954	223.0	43.49043825001759	8.616812614917821
red	9	4267.20218579235	66.85792349726776	6969.562841530054	6382.459016393443	0.015426164338137488	183.0	34.273041093294054	7.51468442329534
red	10	5442.045977011494	86.11494252873563	8091.752873563219	7662.994252873563	0.015577502858925044	174.0	66.81532795906655	5.419387833801514
red	11	5335.475	84.23125	5305.8375	7883.775	0.01554166335121945	160.0	31.678726769606126	6.943892658778629
red	12	6006.291666666667	98.76041666666667	8321.072916666666	7652.458333333333	0.01617683441821579	96.0	38.026966124156054	3.9200145483090627
red	13	7693.929906542056	125.44392523364486	11153.23831775701	9125.785046728972	0.01604270724643917	214.0	41.16685951446593	7.079138639390763
red	14	5400.05325443787	84.24852071005917	8024.704142011834	6806.248520710059	0.015361758736878903	169.0	32.29958873435106	7.57661082418374
red	15	7103.764227642277	106.39024390243902	9837.024390243903	7615.837398373984	0.014755612285744247	123.0	24.086285023283896	6.844330415674845
red	16	4980.33	77.14	6284.65	6626.84	0.015252685631353227	100.0	18.757876208805207	7.196865993968455
red	17	7399.916666666667	121.83333333333333	11603.125	7782.041666666667	0.016197471776293194	48.0	13.439076885512675	4.712818361630689
red	18	8538.0	140.39583333333334	9689.0	9798.604166666666	0.016177624993098282	96.0	18.40967976986192	6.802675878246012
red	19	8554.326241134751	135.80141843971631	8874.673758865249	10161.113475177304	0.015627091310919376	141.0	26.82826929353273	7.623352435164534
red	20	6229.039772727273	104.8465909090909	7252.136363636364	7775.954545454545	0.016553279438517927	176.0	59.87725038117961	4.037915653228062
red	21	8657.916666666666	137.85714285714286	9034.904761904761	9927.297619047618	0.015673111410377007	84.0	16.98226221634732	6.3885565168482135
red	22	7672.350877192983	120.84210526315789	7699.3859649122805	9277.938596491229	0.015506109695370678	114.0	21.907318286740782	6.922636698976202
red	23	8037.321100917431	125.26605504587155	11199.37614678899	8606.862385321101	0.015346366617887386	109.0	21.849455635424146	6.6345558145443135
red	24	8552.194690265487	139.2212389380531	10750.230088495575	8727.398230088496	0.016018246057039293	113.0	20.00377106670528	9.024300033912517
red	25	8261.692883895132	134.02247191011236	8916.951310861423	9656.104868913857	0.01596319863529462	267.0	51.71950152571732	7.780567308089438
red	26	5955.897727272727	93.12878787878788	5804.829545454545	8023.352272727273	0.015395665343096153	264.0	44.541375715395716	10.793897706977685
red	27	8356.671309192201	139.71309192200556	8798.025069637883	10158.877437325906	0.01644382896608159	359.0	58.73858751721119	9.31470233294302
red	28	6397.450142450142	104.54985754985755	10046.245014245014	6284.854700854701	0.016079645885859358	351.0	70.61973359100892	7.2363878708496285
red	29	5007.728421052631	76.40631578947368	6039.503157894736	6892.715789473684	0.015028381375457357	475.0	89.09539554958334	9.330172239779495
red	30	6497.683333333333	92.44166666666666	11482.702777777778	5747.127777777778	0.014027300949020946	360.0	47.43146229868436	13.584135227812517
red	31	6165.166240409208	97.38874680306905	7924.056265984655	7155.664961636829	0.015550960750353561	391.0	78.66282348656186	8.868745005443946
red	32	5716.886274509804	94.44117647058823	6268.78431372549	7610.237254901961	0.016251222679709035	510.0	62.01370772029233	17.846316054792933
red	33	5771.934108527132	92.49806201550388	8921.538759689922	6401.003875968992	0.015772722631208307	516.0	95.24332971038393	18.164437045100748
red	34	6505.253968253968	105.45238095238095	10297.587301587302	6182.071428571428	0.01595175695030548	126.0	18.37578758404518	8.9715189914668
red	35	6706.785185185186	113.76296296296296	9906.285185185185	7165.955555555555	0.01667944577062341	270.0	55.16220856084793	6.666468550210256
red	36	7521.414634146341	125.35365853658537	11458.817073170732	6992.0	0.0163930243128374	82.0	12.355197876099236	8.992223907153832
red	37	4888.971428571429	77.64761904761905	8301.328571428572	5993.214285714285	0.015633898695097747	210.0	58.968328334527776	5.3946407779331835
