,Hole,Depth,Cell,Invisible Blue
0,,(mbs),abundance,particle
1,,,(cells/g),abundance
2,,,,(beads/g)
3,,,,
4,BA1B,0,2.88E+07,1.24E+06
5,BA1B,5,1.68E+05,2.52E+05
6,BA1B,10,1.12E+04,1.93E+04
7,BA1B,15,1.76E+04,8.81E+02
8,BA1B,20,1.95E+04,2.24E+03
9,BA1B,Gouge @ 30,2.63E+06,3.14E+07
10,BA1B,Rock @ 30,1.87E+04,5.35E+04
11,BA1B,40,5.58E+05,5.10E+05
12,"BA1B
BA1B","50
60","8.02E+04
8.66E+04","1.46E+05
3.30E+04"
13,BA1B,70,8.43E+05,7.89E+05
14,BA1B,80,1.01E+05,4.60E+03
15,BA1B,90,7.07E+05,8.95E+03
16,BA1B,100,3.69E+05,7.00E+05
17,BA1B,110,8.60E+03,2.34E+03
18,BA1B,120,1.20E+05,2.35E+03
19,BA1B,130,8.80E+04,1.32E+04
20,BA1B,140,3.14E+05,1.48E+06
21,BA1B,150,6.14E+04,3.99E+04
22,BA1B,160,1.21E+05,3.03E+04
23,BA1B,170,4.04E+05,4.90E+04
24,BA1B,180,9.21E+05,1.29E+06
25,BA1B,190,8.76E+05,2.58E+05
26,BA1B,200,1.56E+06,9.82E+04
27,BA1B,210,9.89E+05,2.95E+05
28,BA1B,220,8.60E+05,1.64E+05
29,BA1B,230,1.73E+06,1.61E+06
30,BA1B,240,1.03E+06,5.64E+05
31,BA1B,250,8.44E+04,1.08E+05
32,BA1B,260,1.31E+05,4.92E+04
33,BA1B,270,4.48E+05,8.96E+04
34,BA1B,280,8.81E+05,2.61E+05
35,BA1B,290,5.45E+05,5.19E+05
