,Hole,Depth,Cell,Invisible Blue
0,,(mbs),abundance,particle
1,,,(cells/g),abundance
2,,,,(beads/g)
3,,,,
4,BA4A,0,9.19E+04,6.52E+04
5,BA4A,10,1.19E+05,1.19E+05
6,BA4A,20,2.99E+05,2.14E+06
7,BA4A,30,3.81E+04,6.69E+04
8,BA4A,40,1.40E+05,1.66E+05
9,BA4A,60,3.10E+05,1.22E+05
10,BA4A,70,4.08E+05,5.48E+03
11,BA4A,80,1.69E+05,6.58E+04
12,BA4A,90,2.99E+05,2.29E+05
13,BA4A,100,2.35E+04,3.92E+04
14,BA4A,110,1.80E+04,1.89E+04
15,BA4A,120,4.23E+05,1.10E+05
16,BA4A,130,5.15E+05,2.12E+05
17,BA4A,140,3.35E+05,7.82E+04
18,BA4A,150,3.35E+05,3.06E+05
19,BA4A,160,6.81E+05,8.11E+04
20,BA4A,170,7.76E+05,1.66E+06
21,BA4A,180,1.17E+06,5.87E+05
22,BA4A,190,1.20E+06,2.96E+05
23,BA4A,200,2.00E+05,1.06E+05
24,BA4A,210,4.55E+05,1.28E+05
25,BA4A,220,1.02E+06,1.44E+05
26,BA4A,230,1.90E+06,1.08E+06
27,BA4A,240,2.38E+05,9.93E+03
28,BA4A,250,7.25E+04,4.71E+04
29,BA4A,260,2.42E+05,7.14E+04
30,BA4A,270,7.84E+04,6.86E+04
