Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1250.6049382716049	490.2901234567901	4604.969135802469	2807.6111111111113	10.667800287071584	4.981222797594168	67.53423515117808	16.584043602512295	0.2816310610761457	162.0	48.320941552652016	5.34134674020518
red	2	969.6868686868687	397.6666666666667	2513.3232323232323	2969.313131313131	6.1926630703928245	3.34692667556598	21.636956995527093	22.446752040519893	0.2908294427043319	99.0	27.643729395863772	4.75989381528018
red	3	1098.8425925925926	29.10185185185185	4828.25	3003.8518518518517	13.68229785882871	0.6609762045691626	62.067125269873074	15.448800427186203	0.02580078477729071	108.0	28.250204681660932	5.427411873240625
red	4	1333.310606060606	554.748106060606	4570.789772727273	3060.0757575757575	13.054500559768913	5.395517722305638	47.95163330956633	14.16533767791201	0.29381930895430314	528.0	83.8746904246127	33.998375763680265
red	5	1517.2660550458716	494.1467889908257	6717.871559633028	3020.5412844036696	21.23439094983638	7.217937070398894	69.14335094354058	9.330997167545616	0.24567148929959315	109.0	31.66464877590637	4.509391883016446
red	6	1720.7966101694915	72.30508474576271	6741.796610169492	2699.6101694915255	21.1616910308663	1.4167006183153708	91.45117760570542	15.177490873502634	0.04032402900002836	59.0	12.610983086444556	6.056911232409908
red	7	1044.584	371.736	4501.008	2920.608	11.810157981669846	3.2258385626066284	59.64625050653226	9.213978222678845	0.26246610935381837	125.0	34.908765141502855	5.170903624647722
red	8	834.4654088050314	129.74842767295598	2528.553459119497	2834.3081761006288	7.874895884793039	3.1652903837964272	26.008216560346362	13.78246446978645	0.13456395538451504	159.0	50.35886033836585	4.922473496892825
red	9	1351.1475409836066	418.6393442622951	6146.360655737705	2745.2295081967213	8.754011420725861	5.831079394811552	82.4968104776868	13.2237671481078	0.23654788480598757	122.0	25.05844021559983	6.4999429371249065
red	10	1007.7824773413897	405.1480362537764	3731.716012084592	2750.1570996978853	11.074724490216077	3.7140659387211175	37.38932912836077	5.982899779771466	0.28674307218611017	331.0	90.48604333266408	7.948152257641133
red	11	1372.1130952380952	541.3928571428571	5716.351190476191	2670.4940476190477	8.87922245373335	4.154719570277274	32.58830248558201	10.21146868768757	0.28293241338978253	168.0	44.84048044442173	6.961932326735836
red	12	1069.1791044776119	446.97014925373134	4290.5	2682.5597014925374	5.6535537445733075	2.9963395708882503	53.60232411141142	8.778996832545012	0.29480616644681146	134.0	38.36951669732643	5.203483971521321
red	13	1116.6431718061674	487.6916299559471	3633.2775330396476	2832.625550660793	6.235990679080887	2.8986262400969705	16.492232768414482	8.547569238921668	0.30398370054697627	227.0	59.56425985984655	5.777073527889333
red	14	1160.5060240963855	350.1566265060241	5061.265060240964	3422.89156626506	19.87749806088995	6.289236991770861	77.14937746614272	23.32075787207049	0.23179008653347688	83.0	22.304187811467692	4.945139101069534
red	15	1399.5298507462687	538.223880597015	6410.9701492537315	2799.7611940298507	27.55514669552187	10.975892708048317	42.58619205391823	10.697740651993033	0.2777565961511059	134.0	36.78485660526351	6.250699988710795
red	16	787.5686274509804	319.9117647058824	3326.843137254902	2889.455882352941	7.926117468239467	3.560566511828882	24.4080648135199	4.257811090244489	0.2888644954542638	204.0	52.304054914659154	5.43754404450697
red	17	1229.408256880734	456.5229357798165	5312.396788990825	2681.706422018349	10.778809080944475	3.900402347227552	32.87455964363992	6.631464351801716	0.27078384798099764	436.0	85.76639392336547	11.746702884436177
red	18	1057.192513368984	394.2352941176471	4932.893048128342	2674.9411764705883	17.91618083116213	6.928825739451058	39.9458389152142	12.835261046542612	0.2716189479656764	187.0	49.14964320508855	5.630917923182026
red	19	700.3730569948186	280.07253886010363	3121.7746113989638	2789.39378238342	6.62185707430056	2.538138272283717	19.939581851735927	10.281975830929746	0.28565841903332523	386.0	100.312589064939	7.208455650837884
red	20	1016.6066666666667	392.04	3721.08	2749.866666666667	10.6055871927821	4.613389980384394	25.336041118445387	15.850895990564814	0.27830967784682226	150.0	39.533178681425035	5.21522184552839
red	21	979.4222222222222	54.08888888888889	5725.888888888889	2568.6444444444446	13.911625439156863	4.542020241456408	85.85532604097544	20.367903958429494	0.05233508213640664	45.0	14.001483546708734	4.173513097818715
