Group	ROI	12C	13C	14N_12C	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1159.138364779874	19.056603773584907	1716.0566037735848	5.911949685534591	111.38993710691824	2488.1132075471696	15.834435898699024	0.4802367863789323	27.23474543934351	0.22100160857411288	7.554445716859361	11.669987088331839	0.016174406004281147	159.0	36.51128532823866	7.5518573238442945
red	2	2361.8020833333335	26.510416666666668	1812.65625	11.833333333333334	36.604166666666664	3489.7083333333335	42.41123445638562	0.7597735282067765	38.25481890295601	0.3403132067723845	1.0843824213909772	12.835970344827349	0.011100061933547919	96.0	31.676669106701574	5.437947516612059
red	3	1568.8805970149253	20.82089552238806	1171.865671641791	10.776119402985074	284.6268656716418	3326.402985074627	32.933454052174135	0.6962091840461793	21.655691835442166	0.4365873935980981	21.26716240700723	25.284331516334124	0.013097361750070416	67.0	17.242262921933715	5.129464763562271
red	4	5319.0	998.2616279069767	9294.273255813954	46.76162790697674	578.1162790697674	4156.186046511628	78.00801414224337	15.417034043817473	175.48653029410139	1.006691154386474	9.843003809130995	25.029969898807217	0.15802125773880904	172.0	26.1940493463734	8.875069422856548
red	5	902.5890410958904	11.04109589041096	379.6027397260274	19.232876712328768	69.01369863013699	3138.8630136986303	19.707733484546914	0.470339371199111	8.414990326660869	2.0466982549092583	2.9856410700624654	25.975791052417133	0.012084863932828548	73.0	18.57218014240938	5.170502730542684
red	6	1124.254716981132	13.19811320754717	788.877358490566	12.471698113207546	25.641509433962263	3483.264150943396	14.80056129640479	0.3459627836257878	12.159441997709218	0.7949430266745938	0.8389533774498921	9.97107155960566	0.0116032180476072	106.0	31.170409100154732	4.618878740042212
red	7	1483.625	17.5	152.4375	7.0	20.5	3400.5625	31.111678248488943	1.0569709078304852	3.6496668833436017	0.5994789404140899	1.155827625556683	14.348608586179184	0.01165792322424848	16.0	4.47213595499958	4.47213595499958
red	8	1951.3636363636363	66.27272727272727	3369.5757575757575	188.3030303030303	331.6969696969697	5397.969696969697	48.93290731346776	3.257617399951661	64.93456521736968	4.712775916416566	6.173714957723525	57.46944706460033	0.032846715328467155	33.0	8.372143871642557	4.996688381265987
red	9	1465.4666666666667	804.7777777777778	1892.7555555555555	12.822222222222223	615.6666666666666	3628.3555555555554	59.20537679953829	33.88001907806084	80.99219383543758	0.8568036431138838	29.760757988488518	37.074688121602975	0.35448948228776145	45.0	8.32666399786453	6.8996331983377885
red	10	2394.301369863014	27.465753424657535	2517.3698630136987	8.136986301369863	30.575342465753426	3687.5753424657532	46.66779576879943	0.7407608671703385	48.22757362640722	0.38027706588155613	0.8715425072737731	28.589916808979826	0.011341203355412385	73.0	15.878114492919286	5.874552141819341
