Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	588.3799126637555	6.611353711790393	1713.9781659388645	3322.6724890829696	6.024653221299536	0.18498027306578396	14.80149082229662	12.893548633303421	0.011111681944617733	229.0	59.435246877979296	6.2919754080282395
red	2	613.1197604790419	7.365269461077844	980.9520958083832	3559.62874251497	7.868522322755784	0.23822392555344607	10.046240426595913	29.083635065231253	0.011870180754866292	167.0	44.459889593823874	6.508278976454404
red	3	782.398773006135	8.521472392638037	2096.134969325153	3430.282208588957	9.837822794681435	0.25180853212746274	21.164816406570544	16.832087501228827	0.010774123487434067	163.0	43.00490988340467	5.638446015360785
red	4	844.2763157894736	8.473684210526315	3630.2763157894738	2847.4473684210525	14.649435919648477	0.282503917376109	52.56958700906879	18.27196433143497	0.00993689148112145	152.0	47.33562115458348	4.39934146967616
red	5	1041.7428571428572	12.542857142857143	1148.6857142857143	3346.8285714285716	24.339112483849075	0.6631315406714087	33.464639185291524	17.75968770245214	0.011897018970189702	35.0	9.526384856069392	4.7669602412227725
red	6	917.4397905759163	9.963350785340314	3317.8743455497383	2802.9685863874347	15.666455199708764	0.27479397903638836	34.79860211952828	17.256911285939594	0.010743279099438842	191.0	24.379948410734517	12.209696268269855
red	7	908.9689119170985	10.94300518134715	1389.6476683937824	3954.20725388601	8.892027771891586	0.2610480273159852	13.63239320611199	18.95588452163032	0.011895709771717274	193.0	51.121761689267935	5.237708050990572
red	8	1094.8583333333333	11.866666666666667	1953.0666666666666	3392.9708333333333	13.601744413844019	0.2733451894447616	49.31430146218948	11.29963955594729	0.010722326383398465	240.0	67.75215983887277	5.612224103691708
red	9	1069.6354166666667	17.291666666666668	3688.9583333333335	3117.90625	10.049369450053952	0.4773326919901804	21.904830437573416	17.25868515080931	0.015908764195696968	96.0	27.122666923298922	4.6718536733896565
red	10	1441.990291262136	19.24271844660194	5779.631067961165	3063.893203883495	13.304637685663147	0.5611727784292214	28.600610275863126	10.982517342362646	0.013168822712564865	103.0	29.610180387987917	4.554377513834396
red	11	724.268115942029	8.615942028985508	2135.289855072464	2894.2753623188405	7.247315445404871	0.2671000070278274	43.450151786679676	14.8059554488171	0.011756214281476794	138.0	42.077940152676995	9.846383007269127
red	12	1447.5407407407408	14.896296296296295	4788.325925925926	3398.748148148148	17.76524793928748	0.38092718796659064	123.77160958526943	17.47927706916802	0.010185940262068895	135.0	21.16005271201829	8.294880117616062
red	13	902.1414634146341	11.473170731707317	1753.2975609756097	3525.3219512195124	12.630818751506029	0.30161581273132054	29.001943707567364	15.624685506389415	0.012557997981750325	205.0	55.525661995099675	5.4577467153394155
red	14	847.9491525423729	8.813559322033898	3380.9830508474574	3014.0338983050847	14.149820579212621	0.4064084296667764	78.32347165272603	20.590841267357142	0.010287048210647095	59.0	20.062189032032283	4.770376139064638
red	15	986.844	11.948	1997.688	3616.968	9.931363584926292	0.2756903770536796	22.456202230653336	17.993427130594103	0.011962450640373571	250.0	66.6233407636843	5.922964248246027
red	16	1123.4129353233832	13.656716417910447	5566.189054726368	2901.223880597015	11.34609889821685	0.2783097843267005	42.51812689283705	11.241670789252618	0.012010448433828773	201.0	53.05136619579834	5.327548379309693
red	17	1314.611111111111	14.055555555555555	4242.266666666666	2866.9555555555557	16.152740809698365	0.4298610487843749	47.72789075116934	19.86549158289077	0.01057869208897809	90.0	13.127004580345133	8.816246094117515
red	18	712.9181286549708	8.32748538011696	4606.040935672515	2589.9766081871344	12.44509964776011	0.2669423025754055	62.135574456106326	24.722641124703244	0.011545977151289598	171.0	49.204831254200876	6.303225645759937
red	19	622.9761904761905	6.309523809523809	2394.7261904761904	3555.904761904762	12.50063463457523	0.2978457186706558	50.77323689508634	26.00909388238388	0.0100264850548619	84.0	30.821714036237527	3.9551560097096536
red	20	698.8878504672897	6.88785046728972	5097.065420560748	2337.8971962616824	8.294857979334948	0.2631225724460383	37.02292602497051	13.601807221045174	0.00975926269233825	107.0	35.11320306108987	4.169606582987503
red	21	927.469387755102	11.622448979591837	5773.989795918367	2891.112244897959	17.735440697748782	0.42134710536465897	48.2721259687524	28.089862502267717	0.01237626451956406	98.0	31.03345362984563	4.353800213110725
red	22	1092.6666666666667	11.491228070175438	3999.7368421052633	3056.4736842105262	23.347750899019797	0.553743135535224	32.10078126434529	18.62680589840097	0.010407232629454852	57.0	19.707986753161496	3.840823053201953
red	23	557.3506493506494	5.220779220779221	3664.7272727272725	2619.987012987013	8.84520973627648	0.2575383136675102	55.97819503069746	10.904753211620127	0.009280206842421165	77.0	25.934205901751216	3.926787853408109
red	24	726.5932203389831	8.440677966101696	4035.3389830508477	2740.3050847457625	11.021775178797949	0.4362694654731955	38.73339074809831	26.40226734404125	0.011483385984734936	59.0	19.593758333668667	4.51670626794402
red	25	2123.715415019763	24.00395256916996	4918.229249011858	3353.624505928854	18.479523327709767	0.36378661716694755	33.49056540230272	14.40862526607583	0.011176484661549248	253.0	47.91458556090088	7.134948053853586
red	26	527.16	6.533333333333333	1328.0666666666666	2762.4133333333334	4.0577186803533944	0.37680921589736255	20.98838902998689	13.467314747881943	0.012241736827641342	75.0	26.7443401013721	3.740755314093373
red	27	1101.1803278688524	12.442622950819672	2742.409836065574	2883.6721311475408	33.01158664112878	0.6240389935738285	58.94752984606335	64.21708313075118	0.011173102118325949	61.0	22.87233506600187	3.9171152635394026
red	28	1422.7575757575758	13.696969696969697	5084.212121212121	3121.257575757576	19.65221092441404	0.4960679628532507	76.16414995797375	25.389105190092135	0.009535261481340844	66.0	20.825481623064753	5.5921986044552625
red	29	790.2765957446809	9.75531914893617	2977.074468085106	2985.531914893617	9.143917528206083	0.34131737241563453	31.745683485398693	9.651237171128734	0.012193662486868874	94.0	30.753997258618398	4.291197715314601
red	30	534.2662337662338	6.603896103896104	1377.2467532467533	2511.3506493506493	7.69713122938699	0.22836820052649148	16.438968815182825	8.186916224889718	0.012209763008139841	154.0	51.74319739081416	5.100005034464473
red	31	1149.276595744681	15.872340425531915	3828.276595744681	2973.2340425531916	14.174128941433214	0.4178113560369162	36.57499846215803	15.877476391772085	0.013622585004199992	94.0	30.188895048440003	4.535710637031946
red	32	2077.0454545454545	20.78409090909091	6158.397727272727	3825.784090909091	20.836236148882335	0.5374528769551876	87.38076075514515	18.395543899189647	0.00990742596514796	88.0	32.05519336995684	3.706108359411529
red	33	1109.0597014925372	12.805970149253731	4481.746268656716	3133.4328358208954	24.134931832300563	0.5517298202886488	63.161954871834936	17.283932972498345	0.01141488724805428	67.0	24.099698680713125	3.9559026729912348
red	34	1199.3617021276596	14.808510638297872	4659.574468085107	3652.574468085106	29.876847352501656	0.5303280994334982	79.71439367099806	61.34295863199328	0.012196404163600042	47.0	14.626599409572595	4.251288552489259
red	35	945.4408602150538	10.623655913978494	7200.8279569892475	2758.2688172043013	11.330644458379208	0.37647124687188044	70.98591103953699	19.46907826841819	0.01111186089929595	93.0	29.989588824967647	5.534092589902779
red	36	850.9183673469388	9.39795918367347	500.33673469387753	3121.1020408163267	15.008401600105298	0.35457966383990897	19.635224829846155	18.595473836066166	0.01092384149162031	98.0	31.86038343489845	4.421900255193395
red	37	980.6623376623377	12.168831168831169	1758.3246753246754	3189.194805194805	10.310471490729393	0.42813933251069625	17.75235314026504	11.004929038121954	0.012256697362913353	77.0	22.761505941560323	4.659337754944204
