Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2155.578231292517	183.23809523809524	3674.0680272108843	7589.047619047619	47.67146087812522	6.142780552127472	114.19104139115461	35.61366107461462	0.07834650936865557	147.0	29.42044183805067	6.969805709131272
red	2	1738.142268041237	1854.0082474226804	5501.428865979381	7335.618556701031	27.544187916001142	32.527277888766804	37.51787119678562	84.91914834406244	0.5161276620902506	485.0	94.46214612892905	10.504668829640263
red	3	1059.427672955975	954.7358490566038	5445.937106918239	7023.166666666667	13.744163112527419	13.003910760256895	31.652028110232457	70.60857753234404	0.4740110912656283	318.0	54.11973327020496	7.989006120537705
red	4	2960.3383685800604	226.94259818731118	7260.85498489426	7079.078549848942	38.435717375808586	2.529507336507517	106.20133558202008	66.33687711103977	0.07120257064048001	331.0	48.084821405535784	15.584889122333404
red	5	2536.331683168317	3103.6930693069307	4845.742574257426	9246.584158415842	26.43591555151164	32.939719479047234	55.730119384350836	31.819344216046524	0.5502977744813633	202.0	39.868230735582614	6.943588709499157
red	6	2601.4824120603016	3200.542713567839	4023.263819095477	10880.711055276382	20.34630756712127	25.276855542415714	57.09822203926468	17.73944860297061	0.55162510404009	398.0	77.9255171170721	7.7915595909715085
red	7	2188.7063253012047	2749.7439759036147	5466.756024096386	9426.265060240963	15.571034746310973	21.5073711693334	32.34032885086852	23.049762477594612	0.5568030066502375	664.0	127.56448460658196	13.227778923643575
red	8	5428.035087719299	344.9824561403509	4845.3216374269	7962.982456140351	49.98251046309036	14.523331411010608	62.7955452811949	35.018700611867864	0.05975773562428965	171.0	20.412453235841227	10.76284577122312
red	9	2297.6265508684864	2659.0198511166254	4500.713399503722	9609.759305210919	12.492316142345436	15.457564266929117	34.233625965229315	38.34789348312274	0.5364554247911857	806.0	142.01073531114716	9.00252109883856
red	10	3159.6709956709956	246.76190476190476	6701.943722943723	7924.948051948052	33.85144177361246	5.252037636419141	87.36741385190955	51.65657643321928	0.0724399722450266	462.0	61.17827615805569	16.821778787895276
red	11	2102.0844277673546	2458.3977485928704	4795.0994371482175	9615.470919324578	13.185476424621925	15.973512522076584	50.557653150059195	41.19524695226884	0.5390653122900585	533.0	103.6527301047452	10.658385791632204
red	12	3460.4239130434785	299.2445652173913	5390.119565217391	7142.08152173913	37.85920703585459	5.4884631389627945	84.44279086691805	43.431464550296184	0.07959333833493067	184.0	19.137784008603507	16.514356078860516
red	13	2374.251256281407	213.2110552763819	7025.562814070352	7310.643216080402	33.10210469972834	2.944591279712736	94.49742757454948	47.113913627077395	0.08240160806362339	199.0	40.37819490034275	6.656863626819835
red	14	2299.142424242424	2823.2	5529.178787878788	8567.084848484848	18.174700199133422	22.322982429242565	36.742230733825345	54.19675812805449	0.5511540943921844	330.0	63.89128853379622	7.243192471992718
red	15	2147.253373313343	2511.9670164917543	4254.056971514243	8437.65067466267	11.03712855517695	13.67679362715273	32.11632164722882	31.44047300292586	0.5391389130224925	667.0	129.81611552645506	8.413539764418276
red	16	1507.0602409638554	1718.8313253012047	4812.373493975903	9989.325301204819	42.882066598596495	48.71928894977976	118.37415519707824	100.49749252254715	0.5328236520024351	83.0	14.808973255247619	7.211093586489453
red	17	1216.0380952380951	51.714285714285715	1928.1809523809525	8652.809523809523	30.811061781910606	1.1855298602577173	37.615090282396146	126.99337179499481	0.04079210300945055	105.0	20.930017631735016	6.565810851627019
red	18	1599.0808678500987	1964.6627218934912	4160.13214990138	6858.175542406311	11.375282649877851	13.790687428445692	26.30667697378137	34.90046342783187	0.551291829060813	507.0	106.36624645942392	8.377302322667536
red	19	2447.2340425531916	263.6595744680851	4689.631205673759	6395.90780141844	28.994725273525646	3.488782598938807	88.99158092151453	30.051057102322975	0.09725928483973252	141.0	27.53702930042941	7.185753920625875
red	20	2160.5631929046563	2700.1685144124167	4568.827050997783	7894.764966740577	14.809947694377058	18.76130130820294	33.63196899161419	37.348387595324546	0.5555065938627582	451.0	74.2658394881554	9.540076385965584
red	21	1670.0425531914893	93.14893617021276	5808.404255319149	9946.617021276596	54.701477668099756	2.265128951207667	160.71718412350597	47.409331188497035	0.052829733317243874	47.0	8.16814838038144	7.332326912259812
red	22	1783.5647058823529	2265.423529411765	2852.958823529412	7255.294117647059	12.008143360942796	15.633377295079764	18.288617391351693	25.44056283081426	0.5595036087446682	510.0	104.58526566209548	8.036758563226803
red	23	3494.2954545454545	505.3545454545455	6457.331818181819	7556.55	47.05676890635486	8.887269595128688	121.01350931836896	55.85677235181054	0.126349691961683	220.0	38.78121143575058	7.569149208523884
red	24	3292.251612903226	247.58064516129033	3700.548387096774	7578.329032258064	59.464930574628966	5.51022034771325	73.27991986233364	92.39471950427054	0.06994134950808677	155.0	28.86080914344234	7.674070932724577
red	25	1734.950724637681	1939.1942028985507	4219.573913043479	10157.939130434783	19.39528915585823	21.884508295281403	46.039766412148204	58.50198787523227	0.5277946954038404	345.0	68.21952574688906	8.578233776788453
red	26	1048.270707070707	1209.2121212121212	3089.331313131313	11194.670707070707	14.786232414458954	19.070475166291654	46.369114513827355	1.8132743256983583	0.5356462100453352	495.0	91.05586591164848	7.815388294973152
red	27	2217.6493506493507	2771.844155844156	5171.085714285714	7615.693506493507	16.152112080386363	20.768181263804614	36.88665687890401	22.319934649797577	0.5555361786194888	385.0	76.83530157571765	6.78220942177723
red	28	2196.209354120267	2472.850779510022	4153.779510022272	7877.158129175947	17.372144410955013	18.59804925483511	66.34893470030144	60.48142603877814	0.5296249585004446	449.0	87.55067818140881	8.923120509192342
red	29	3238.146788990826	309.9678899082569	4252.5504587155965	6622.821100917431	33.24451313938787	9.639601050302904	60.60951664388701	50.36300055003832	0.08736129408433733	218.0	43.70313651416401	7.21749619909104
red	30	1797.0474576271185	2039.0542372881355	5226.603389830509	10939.332203389831	17.587030469702317	20.672504177832817	90.73337300404891	19.668841646956263	0.531543321698405	295.0	59.598497465733736	6.797939903260041
red	31	1967.2792207792209	2368.987012987013	3120.8506493506493	10929.35064935065	38.41175957262885	47.03370335971733	85.44146703618581	36.63920461653513	0.5463195489566253	154.0	21.87304980912426	8.999341293992627
