Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2243.2903225806454	162.38709677419354	2365.2903225806454	3111.9032258064517	47.026044847097914	4.1899928895990275	35.71403923439309	12.035790784572892	0.06750160909676035	31.0	9.08461008742739	4.449337314194001
red	2	2546.439024390244	174.14634146341464	2657.390243902439	4063.878048780488	68.38416389226302	6.593361088317523	82.80408331849507	43.97749945376353	0.06401061464534175	41.0	12.46773537647082	4.311069331636764
red	3	2654.2118226600987	199.69950738916256	1408.7783251231526	3694.862068965517	30.91809432460914	3.1535815832820093	33.543369479908826	21.94101285902036	0.06997397055980557	203.0	32.85647209220678	9.049919965395707
red	4	1657.635687732342	34.6542750929368	1562.5799256505577	3533.825278810409	25.0479514971921	0.6615517916085752	21.17694840070837	25.636977383514512	0.02047774072658416	269.0	82.56261186370598	6.034369553379177
red	5	1799.9868421052631	37.73684210526316	2598.4868421052633	3269.5	49.199965421176486	1.2999531769018982	65.75372842988533	28.07092755297214	0.020534557196760866	76.0	26.174204663340564	4.0323740789360265
red	6	849.9375	40.15625	1190.55625	3018.2375	19.67354800769138	1.0616006073893207	32.358168581899214	12.43580229462247	0.04511462977916652	160.0	26.385216756787983	8.074517737754661
red	7	4173.517482517483	145.07226107226109	3349.4708624708624	4986.589743589743	35.420069176457176	1.8906466049125443	33.94504077791639	18.56467122672029	0.03359250813013615	429.0	38.29655885546133	14.703285523605496
red	8	1999.2989417989418	35.72222222222222	2484.7380952380954	3642.9656084656085	30.777327672884212	0.6473422985929796	41.58304963920695	24.856849551624205	0.01755373499489105	378.0	105.86572291164694	7.8529578497714585
red	9	1889.435582822086	35.87116564417178	2367.6564417177915	3509.6441717791413	28.829092375377734	0.7429215945914643	40.78518598726153	22.165213176198943	0.01863140285190791	163.0	45.58637656321272	4.7922321646880315
red	10	1327.1195652173913	73.30434782608695	1944.6847826086957	3066.25	31.190886783392827	2.2978651188755794	18.81312894588148	16.940897379330686	0.052344398823337655	92.0	27.204717872742187	4.955159837823305
