Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_18O	STDEV_14N_12C	STDEV_28Si	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	156.8846153846154	1.5256410256410255	11.08974358974359	79.71794871794872	15.35897435897436	1.8461538461538463	22.846153846153847	2582.25641025641	4.92764814381074	0.1629006051489955	0.3939824723337478	1.0045749124544592	0.4228726620257496	0.16325595224201395	0.550559133362055	7.833457884305795	0.009630948527031401	78.0	13.570749318465863	7.376271747610421
red	2	340.0860215053763	3.2795698924731185	9.903225806451612	241.6451612903226	21.172043010752688	1.7311827956989247	28.78494623655914	1983.236559139785	6.959833157803114	0.18584775986823224	0.41200184883438196	5.619092808586741	1.0496544483031718	0.15217222000317673	0.7975638509114061	20.616912785581956	0.009551247925343688	93.0	14.256582292492492	8.60264481582014
red	3	349.5377358490566	3.4150943396226414	10.735849056603774	170.29245283018867	39.660377358490564	2.452830188679245	31.858490566037737	2583.5188679245284	9.421238348917282	0.19235473106910422	0.3394396484972796	4.58991044068728	2.0847087242621547	0.1677718595127767	0.760407635434162	17.489895527295957	0.009675781145591105	106.0	13.790576125841241	10.009899130615432
red	4	74.02631578947368	0.7105263157894737	7.5	198.8421052631579	38.026315789473685	1.8157894736842106	48.63157894736842	2041.0263157894738	1.997050055102142	0.12291414665183877	0.42879396675790327	4.73238479113256	1.2148018557041504	0.16160236054393579	1.4962654584679829	26.768358104788287	0.009507042253521126	38.0	7.455128930368747	6.407232755171875
red	5	112.28260869565217	1.108695652173913	12.434782608695652	154.15217391304347	37.91304347826087	6.391304347826087	59.80434782608695	2843.521739130435	2.52523428014891	0.14494722613568145	0.45042741087748567	2.9445036091111145	1.2652943675061696	0.425419020469119	1.6880038112916549	23.016775733182957	0.009777607361963191	46.0	8.647864205846572	6.732597286882094
red	6	657.044776119403	6.6940298507462686	12.582089552238806	414.2014925373134	20.007462686567163	3.5074626865671643	40.37313432835821	2692.3507462686566	28.681588758515296	0.3236135517729447	0.2746630628851736	14.727482065348365	0.5616876469808222	0.15821820187591254	0.7179454828847633	11.032447018688556	0.01008533747090768	134.0	20.585879166120435	8.499848228199111
red	7	444.93684210526317	4.610526315789474	17.63157894736842	631.7789473684211	106.27368421052631	5.431578947368421	81.45263157894736	2835.1473684210528	19.472067133578427	0.2742078944583691	0.6245313157391108	11.187628495158267	5.209270281472472	0.27435247627155074	2.4871868174813927	39.01131867409311	0.010255929941227433	95.0	16.077111919170676	7.872082674544206
red	8	166.39	1.71	14.28	110.45	9.04	3.27	31.35	2930.07	2.702920457579172	0.13805433712853793	0.3240617225159429	1.0894379284750462	0.28876287850068266	0.18102762220169608	0.5496135005619859	11.793797140870279	0.010172516359309934	100.0	16.98979760214528	7.720179883794066
red	9	140.50704225352112	1.352112676056338	10.887323943661972	119.21126760563381	6.126760563380282	2.0985915492957745	23.169014084507044	2427.6619718309857	2.955188245733146	0.1307639973050325	0.4416113107716863	1.4545846492616998	0.304648621478665	0.16443917370211297	0.5011337732738776	11.66134147547894	0.009531374106433678	71.0	12.53968594735919	7.299721443707739
red	10	91.96	1.2	10.84	265.56	32.12	2.56	53.84	2528.64	2.49894697822903	0.265329983228432	0.6057854405645615	5.8534311305421545	1.0557575479247119	0.30505081543900187	1.4791132478617046	28.158402227399193	0.012881064834693002	25.0	6.913242590857943	4.6787046155904894
red	11	100.96938775510205	1.0816326530612246	10.826530612244898	134.59183673469389	12.153061224489797	2.316326530612245	24.336734693877553	2747.4285714285716	2.769706344811955	0.1095915226193149	0.3616409193681624	1.8621169502981405	0.3665956151214947	0.14758710342632897	0.5042393947852948	10.694120966227963	0.0105989401059894	98.0	19.874820234287707	7.221740543766911
red	12	82.05882352941177	0.7058823529411765	12.852941176470589	168.8235294117647	11.676470588235293	2.323529411764706	45.23529411764706	2633.205882352941	2.18081489184884	0.15854775493956688	0.509651405630899	3.2012839628479854	0.47918722319230406	0.19826491415686737	1.2437100038112971	24.105620366179068	0.008528784648187633	34.0	9.125228490699705	4.800169130108178
red	13	101.66666666666667	0.9	12.033333333333333	138.7	11.766666666666667	2.033333333333333	25.466666666666665	2748.6666666666665	2.713068510145061	0.15165750888103102	0.5238391045038613	2.1587805199541092	0.4959465323630793	0.17940229983248596	0.8803198072081321	8.515519600944739	0.008774780630484237	30.0	8.048561642713345	4.84637206063568
red	14	127.51515151515152	1.3181818181818181	18.181818181818183	411.22727272727275	117.28787878787878	4.484848484848484	80.87878787878788	3788.712121212121	2.426063939187487	0.14239053583912206	0.608294780056534	7.509369582183972	3.6842656257223525	0.23496324101699895	1.5289545741349562	32.96689608445575	0.010231682935434553	66.0	17.333248395269443	5.045177585803801
red	15	121.96875	1.140625	17.71875	488.546875	93.609375	5.4375	88.046875	3323.390625	1.5326792994494762	0.12076252583680243	0.5827386640561423	5.353286888582995	2.810556375939466	0.24987789987061682	1.2144213368306773	40.58278225335942	0.009265135169437746	64.0	22.628731365299224	4.1367126800302545
red	16	92.73913043478261	0.8260869565217391	13.782608695652174	145.04347826086956	17.695652173913043	2.217391304347826	22.695652173913043	3160.9565217391305	2.815174511209005	0.170090311972809	0.9119175702706672	2.4583319693118164	1.1143246407343819	0.31924131315817855	0.7980002951818882	4.688996192821365	0.008828996282527882	23.0	5.405311397537409	5.360360002581718
