Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	5708.580110497238	92.7182320441989	6990.96685082873	7878.453038674033	37.098664681742854	0.9345125419724867	102.68356294517127	46.08869477884629	0.01598232439871052	181.0	55.14047125864568	4.4596241378439165
red	2	7654.4375	81.89583333333333	2628.5833333333335	8835.947916666666	95.51570984589631	1.283786375548511	37.5253261314695	125.48383909353714	0.01058587186005429	96.0	24.880950474222786	5.14721857461179
red	3	4716.114457831325	71.21084337349397	3902.5602409638554	7304.018072289156	39.018880434802846	0.9970128938373127	65.17276661727281	35.62668476318332	0.014874870390690277	166.0	43.80357970287199	5.416255452501792
red	4	7245.684210526316	116.60526315789474	12933.184210526315	7805.210526315789	29.539419478686572	1.0628609988037867	130.87011502296215	71.0794453127313	0.015838179628047625	114.0	33.000463584550204	4.823240361796531
red	5	7195.469879518072	74.37349397590361	2664.5180722891564	8874.084337349397	94.9442087168208	1.4722192363431335	126.98024525830897	81.459094237014	0.010230412149878106	83.0	21.018077115143278	5.229947603141678
red	6	4919.651741293533	78.37064676616916	5650.141791044776	7070.141791044776	35.550845768549145	0.7555876425184576	51.43021061048138	27.235146045255092	0.015680331275305406	402.0	81.25450576925552	8.325319544584126
red	7	7591.692307692308	122.95804195804196	9512.510489510489	8457.111888111887	61.79053603795104	1.4860057301580332	250.44859842206228	54.15527842346756	0.01593825207692203	143.0	43.32126822257385	5.889347568341689
red	8	4939.445121951219	74.14634146341463	5184.817073170731	6907.158536585366	65.76941893737065	1.2052903628986742	83.46813657157934	73.67963170055937	0.014789067279310265	164.0	41.289368822268024	5.661798125264542
red	9	7499.138461538461	122.45384615384616	11133.038461538461	8936.969230769231	47.189267350933584	1.2020254867613462	109.12158812323989	83.88118318267593	0.01606670118398437	130.0	37.596801011207866	5.327529029292901
red	10	5536.46511627907	88.02325581395348	7063.104651162791	6939.883720930233	54.61038483049124	1.321799659029951	122.5869511046906	93.60990223405594	0.015650002274108652	86.0	23.687925350752444	4.724146806324305
red	11	8474.25870646766	136.3084577114428	11236.537313432837	10155.875621890547	40.88318940642686	1.053656591877005	74.41534999578982	41.97976516034165	0.01583036925587211	201.0	24.250055751439746	10.841746589212981
red	12	8925.978571428572	149.37857142857143	8800.228571428572	10478.814285714287	73.98842536881597	1.7065739595166372	89.52633083365163	45.405502437518486	0.016459800873637402	140.0	22.951332525908644	16.551527723417117
red	13	7472.711382113821	128.0772357723577	9360.585365853658	9007.321138211382	57.868969036125236	1.3149733117573021	89.23266238700506	45.99336340886742	0.016850519362025976	246.0	72.08800881184897	4.760264537429729
red	14	6838.395833333333	108.83333333333333	10313.979166666666	7112.291666666667	108.09463582795033	2.3979760949291915	137.32159034538427	94.74908365108291	0.015665718047063126	48.0	12.349005044350877	5.298911520631899
red	15	8475.111111111111	141.21527777777777	10022.75	10265.486111111111	65.5242658017996	1.7110739983586993	137.040615001933	48.3035897726643	0.016389267467848103	144.0	42.463276255203496	5.911822475591803
red	16	6517.505747126437	81.7816091954023	7439.517241379311	6851.563218390805	92.58380152495674	1.5283834429122136	138.3257397187737	65.12792112015447	0.012392491003904984	87.0	24.978934070128787	4.668422214365325
red	17	6250.654261704682	106.47899159663865	7551.727490996399	6572.998799519808	27.68221217141428	0.6251193065185857	45.733495589654204	28.217221285344028	0.016749529599893644	833.0	184.97525895149982	8.31694865380119
red	18	3461.9473684210525	40.94736842105263	4286.394736842105	6105.8421052631575	58.45766926655686	1.0191703814922968	115.30388933933651	30.302869284342936	0.011689580046578019	38.0	10.280675379864176	4.803358894580196
red	19	4269.502304147465	68.87557603686636	5048.290322580645	6150.967741935484	49.92816523149581	1.00555530294721	85.30444019282127	52.318228027005055	0.015875882170489936	217.0	62.62933917397213	5.203292456159589
red	20	4612.608695652174	73.44202898550725	6797.355072463768	5813.760869565217	37.148076218962665	1.041867623511475	103.70704714668813	37.9571035398021	0.015672478447442687	138.0	50.78735456287878	4.40801382014721
red	21	5845.7131782945735	91.26356589147287	8456.32558139535	8466.46511627907	50.995120126949665	1.0899963244166226	113.77574925289089	86.91324012483514	0.015372060532466345	129.0	28.642380841389564	6.096104032276569
red	22	7791.087431693989	126.01639344262296	8620.781420765028	9095.459016393443	46.82117043909491	1.14416561639368	125.02785013368678	59.00229831746555	0.01591698128834991	183.0	51.059157592445835	5.547066327039821
red	23	8457.979591836734	140.1265306122449	11121.697959183673	8950.008163265305	46.340447949578355	1.0780539762432126	87.11490539133221	67.27605298334224	0.016297371609125123	245.0	66.82488565947264	9.525694892184951
red	24	8666.173184357542	143.88268156424581	12214.067039106145	9264.59217877095	38.46256763798218	1.1369028904958476	64.08536662450217	28.68645902189224	0.016331642358909323	179.0	50.53727183363139	5.092994109153954
red	25	8055.753731343284	132.2910447761194	12270.76119402985	8696.768656716418	32.739659798832356	1.154515220318926	71.53082449302134	33.177024585810365	0.01615660983705767	134.0	36.666325918351156	5.334626950055093
red	26	4485.717557251908	68.81679389312977	9063.137404580153	6289.633587786259	63.09181157962719	1.2980601919171293	87.32015040386206	67.9334256334264	0.015109512540141189	131.0	26.12576185312237	6.981533595443057
red	27	7500.080882352941	120.82352941176471	13545.536764705883	7527.566176470588	48.81618262312128	1.27724979406299	58.0171222452946	44.35138779437423	0.01585422449666793	136.0	33.62115854575279	5.871464844946017
red	28	6871.333333333333	116.02222222222223	12331.0	6955.044444444445	49.04561746570832	1.6304173180512316	61.366947310602164	14.406444221826497	0.016604596874990062	45.0	12.490163700985072	4.699961476766459
