Group	ROI	12C	13C	14N_12C	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	4350.948571428571	1306.222857142857	6482.257142857143	55.06285714285714	367.3828571428571	5818.971428571429	87.77880410550387	22.303798017247406	109.62555063838758	1.0029557716486712	6.67750252365005	76.31920781198903	0.2308968136524563	175.0	34.7134245964554	6.680266227317449
red	2	1865.5735294117646	30.691176470588236	2687.8088235294117	30.147058823529413	32.029411764705884	4116.632352941177	15.192198817834724	0.7084076620364836	36.145492818665694	1.8775518627601098	1.7482035500338358	12.574189945012545	0.01618506971910722	68.0	17.29699926212849	5.288295156368884
red	3	3869.7105263157896	1595.859649122807	7589.824561403509	62.10526315789474	449.42105263157896	5657.1578947368425	65.50886557337888	26.85722506506002	116.56004377620759	2.1653475784705507	6.965905346332677	58.38315716688914	0.29198411106207117	114.0	24.84524593787454	6.054563324506246
red	4	2830.3764705882354	74.4	3912.7235294117645	13.729411764705882	38.188235294117646	4333.323529411765	39.56042021963881	1.9178888335497117	71.0810468769069	0.6681470773682434	0.648180217330027	17.408784726989694	0.025612986318679982	170.0	29.84885438366662	7.4351132663668364
red	5	8197.844660194174	825.9805825242719	9101.291262135923	92.66990291262135	267.6116504854369	6733.563106796117	110.2486010386083	14.844282257105975	148.8440124355198	2.8038051097585686	5.631222512269923	70.12257378953697	0.0915333088028025	103.0	19.047056250350824	7.640259525995827
red	6	4480.262195121952	2043.121951219512	7534.036585365854	60.890243902439025	596.2682926829268	6647.506097560976	69.8308847041672	32.52621212270414	119.39857493861017	1.7215653758949199	10.200820766779307	51.63953398922163	0.3131996990190076	164.0	22.40350971459852	9.621112112118722
red	7	1573.361111111111	593.8333333333334	1204.3333333333333	26.88888888888889	123.5	5086.75	35.07201921852336	15.483787817752644	29.06827318869904	1.032480067198993	3.583548658474491	28.982710230134632	0.27401017700816466	36.0	7.3450056870841	6.163534948521058
red	8	2365.1724137931033	171.93103448275863	2684.6206896551726	53.310344827586206	189.41379310344828	5494.275862068966	67.16469666365191	5.838274433243632	75.51151629681242	1.5605903394397216	6.421485420774968	48.03357665684296	0.06776666304229641	29.0	7.005261640494672	5.285772319659345
red	9	3303.927272727273	534.8545454545455	4894.036363636364	49.78181818181818	1056.8363636363636	5593.781818181818	82.08123714106998	14.872825476044273	134.62070368355472	1.845914122639317	45.89054000454059	53.62862619635609	0.13932923796848432	55.0	11.14751383105003	6.32089881526585
red	10	1700.046511627907	404.9767441860465	1488.5813953488373	65.6046511627907	939.4186046511628	5437.116279069767	35.553263746025536	10.789318695573368	37.00818076514775	1.434768581141859	22.773848364814846	17.553170690804393	0.1923858765301162	43.0	10.711354211022885	5.106252405326249
red	11	3599.0914634146343	1623.1951219512196	6898.006097560976	43.97560975609756	410.969512195122	5100.317073170731	52.73672643558389	24.300259125143832	120.76274191443727	0.947418579387236	7.32841815501177	38.553929367422086	0.3108207669988499	164.0	28.078875383330953	7.766656751034773
red	12	1369.4705882352941	18.294117647058822	1166.7058823529412	16.941176470588236	301.2352941176471	4580.205882352941	22.682029352025694	0.9146343945629226	43.053389431528444	0.8704502836554748	9.78683343534707	19.10034417939162	0.01318243472363513	34.0	9.216660283622094	4.763749744120445
red	13	2777.285714285714	176.37142857142857	3006.0	28.65714285714286	164.22857142857143	5423.257142857143	77.86416819080935	5.967816503482826	92.7262814163607	1.0826595048760908	5.345085206061575	66.50413941828556	0.05971289829557546	35.0	7.841654049495315	5.702907648347882
red	14	3890.92	171.26	4392.52	23.24	144.82	5340.4	86.26052093512999	6.599200557643326	95.12410100495038	0.8205169102462179	7.191588976019137	49.28497539818803	0.04215962857381997	50.0	10.922571119197766	5.916201496405178
red	15	4573.379807692308	58.11057692307692	4688.663461538462	11.860576923076923	19.701923076923077	4991.2067307692305	50.058236008748	0.7739407596420473	54.88019378934987	0.25670361111978296	0.3210559223826837	25.907512389111375	0.01254684175014273	208.0	40.21242855641788	6.998347075155473
red	16	3933.243902439024	58.89430894308943	5097.178861788618	11.597560975609756	28.922764227642276	4746.268292682927	28.967915315941614	1.051308260520063	39.52488507161873	0.47935014741575527	0.46333497604347046	15.820260993007926	0.014752572637684229	246.0	46.87975992654101	7.302102139336704
