Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_18O	STDEV_14N_12C	STDEV_28Si	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	225.4	1.875	15.6	780.975	63.325	4.475	135.175	3450.075	3.739618964547056	0.22690168575839184	0.6944422222186667	9.111976150923574	2.837337550415882	0.3162030597574919	4.288922868856468	84.5694048363532	0.008249917500824992	40.0	8.620119855774671	5.956805660089918
red	2	353.9	3.55	11.15	390.775	19.275	3.5	229.475	2483.6	7.346325612168304	0.27145441606280785	0.47110243047558137	7.5238360810825755	0.9912034982787339	0.291547594742265	11.176760907123315	22.299181599332293	0.009931458945307036	40.0	7.905913594891791	6.371540648077604
red	3	150.30434782608697	1.434782608695652	12.521739130434783	368.8695652173913	30.304347826086957	5.043478260869565	81.08695652173913	2506.782608695652	4.887944655867438	0.27378248756494017	0.8427822435746113	12.09185142483358	1.4864667164412722	0.48601718745450956	2.4930247064687037	9.422844886405963	0.009455587392550143	23.0	6.667281608803803	4.352291467154875
red	4	114.875	1.1666666666666667	14.958333333333334	474.2083333333333	37.916666666666664	10.333333333333334	116.25	2416.75	2.6570872863385997	0.21783871029664062	0.7131677345425776	6.264976269870226	1.3214531493495811	0.7232898092384188	3.560611097675354	18.59110917287556	0.010053859964093357	24.0	6.831300510639732	4.47213595499958
red	5	392.85185185185185	3.8703703703703702	18.037037037037038	334.5740740740741	21.166666666666668	19.666666666666668	76.68518518518519	2950.8333333333335	4.12463636069426	0.24713210494617607	0.5315575909906237	6.706087250282624	0.7123012802561813	0.6436350813697321	2.0752020864579146	17.45707551672696	0.009755869859496802	54.0	14.905176193347305	4.714953273752328
red	6	479.2857142857143	5.226190476190476	15.511904761904763	767.047619047619	44.607142857142854	24.702380952380953	142.78571428571428	2897.7619047619046	5.954941626078566	0.26531929512620667	0.4287347729785333	10.487722342999483	0.9373845895920546	0.5334023557336963	1.5453345252554704	12.018252122658778	0.010786505810953586	84.0	15.215208968035155	7.207227488928265
red	7	588.1666666666666	6.222222222222222	17.75	627.4444444444445	47.486111111111114	27.041666666666668	140.40277777777777	3157.027777777778	11.730200681347757	0.3044311522735852	0.48462073117688614	9.090675950215386	0.9339682561694675	0.682801707156841	1.945898238490657	12.641330231585815	0.010468268062435742	72.0	11.944848510408463	7.764844897717853
red	8	659.4090909090909	6.818181818181818	20.636363636363637	2777.625	123.23863636363636	23.204545454545453	250.2159090909091	3751.3295454545455	7.970594789114639	0.26039616122625037	0.44338043864541826	35.46982229328985	2.0924521429664305	0.4737857170810369	2.787333402335259	11.725408607909811	0.010234017875417889	88.0	17.013217319774512	6.707651242458514
red	9	624.439024390244	6.536585365853658	16.670731707317074	673.7439024390244	82.92682926829268	28.21951219512195	121.40243902439025	3032.182926829268	8.674068816176977	0.2886897939485347	0.4329027399855148	10.124489998621467	1.7038100293876026	0.6325082948726123	2.521817928030274	27.064649988778797	0.010359489756474681	82.0	11.341766174191013	9.184067095467324
red	10	642.7567567567568	6.54954954954955	23.585585585585587	2675.4684684684685	132.8918918918919	25.936936936936938	263.036036036036	4310.855855855856	8.340748745659099	0.25409198449795956	0.4461903904557982	39.59921120134618	1.2625701928285276	0.5255085971278382	3.238658619664028	14.03835949062525	0.010086995129937703	111.0	20.869238131324575	6.9180228906619545
