Group	ROI	12C	13C	14N_12C	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	7298.19696969697	162.0530303030303	12922.136363636364	232.62878787878788	928.6515151515151	7534.772727272727	92.80952447246257	2.3997176714950457	119.16090441130518	3.698931504180088	11.874158347480002	57.83569075199153	0.021722198358370068	132.0	27.17031502805967	6.411570235361515
red	2	4912.815533980583	104.37864077669903	15159.509708737864	86.62135922330097	783.6359223300971	6262.257281553398	40.264421692302435	1.1330191306192372	69.365782484124	1.5894961235393346	6.688696291315081	46.62869614393339	0.020804185993409073	206.0	54.30365765267899	5.097108919239096
red	3	5595.184615384615	121.81538461538462	14152.476923076923	126.0	706.7846153846153	6275.9384615384615	76.38667405176137	2.266284116334274	168.742607966353	4.08744650544949	10.311927770637098	37.22447420985652	0.021307571211366907	65.0	16.451988101665087	5.131272485958593
red	4	4088.7764705882355	76.84705882352941	17029.55294117647	108.12941176470588	784.4	4712.835294117647	34.83119302188052	1.1416622231611249	129.32148990981113	2.0223517938123647	8.276839742593033	19.584513669132093	0.018447912606826745	85.0	19.47646854929899	5.829507612769449
red	5	4377.147540983607	84.1311475409836	14185.737704918032	62.721311475409834	570.4016393442623	5354.5901639344265	47.480690529341786	1.3878843250480468	108.60890365747616	0.8594653981616653	4.632324815343686	68.29259767612183	0.018858079356796918	122.0	31.470346786812332	5.169678649303728
red	6	4068.0	72.21666666666667	16157.833333333334	184.53333333333333	944.9	7878.25	53.461315193532435	1.4405037056272803	183.5494683043642	3.465261467340818	11.034458653589573	82.6263497956648	0.01744272642736089	60.0	13.26171271468984	6.09647241222609
red	7	4587.960451977401	95.42937853107344	16375.502824858757	121.61016949152543	867.5932203389831	7838.3785310734465	40.23474430325358	1.1400307825599638	137.20128175530476	1.3724756055092335	6.967837430815133	49.55773878618874	0.020376133950974717	177.0	28.022448893700115	8.238844438824891
red	8	5853.503816793893	124.16030534351145	13070.709923664122	121.4885496183206	853.7480916030535	8765.763358778626	48.34621245004975	1.2332824424595465	160.89873651892032	3.444251908527452	13.667739482425777	76.17640887547748	0.020770706216781554	131.0	33.564213586696305	5.248340265521038
red	9	2116.6202531645567	36.0253164556962	5553.202531645569	39.59493670886076	462.17721518987344	917.2278481012659	31.197497751938442	0.8939926059742946	140.21563883553657	0.9530761280515886	10.342876155281475	15.358577391566511	0.016735368313350072	79.0	19.01584222835083	5.518875891139152
red	10	5386.8	114.64137931034483	13855.062068965517	148.5655172413793	813.6620689655173	7108.165517241379	46.59282742206065	1.285080429785335	104.41534878843338	2.4684610117010313	8.295638558337364	70.28124578463989	0.020838426042579437	145.0	33.61031905550703	5.676905983743045
red	11	4061.125	80.9375	16799.40625	103.59375	1136.0	5872.625	50.00010498035854	1.3274584724554475	220.0766875382923	2.088930875387799	17.39628866669555	78.43740195462	0.01954038597920722	64.0	15.872778333147775	5.369203431306597
red	12	2155.55	20.75	398.85	13.5	362.1	668.65	32.2327841645738	1.126665433924375	11.859442440519706	1.1146748404803977	11.195512493852167	5.288324403816392	0.009534531084868814	20.0	5.656854249492381	4.47213595499958
red	13	4252.0344827586205	41.96551724137931	2834.689655172414	36.724137931034484	1247.3793103448277	5633.137931034483	66.78106780564295	1.2961873650001163	50.72469123325776	2.208994989265932	21.006732050044402	65.77283581663862	0.009773059441401796	29.0	6.728462016125951	5.500630044211441
red	14	8981.985436893205	95.43203883495146	2121.1796116504856	6.412621359223301	163.23300970873785	8252.699029126214	60.86712714932711	0.8623106802632682	48.5831563723326	0.2807121338898093	5.979161537493426	36.553918090850104	0.010513126568225426	206.0	32.13980605790215	9.337018342182958
red	15	4804.696721311476	95.50819672131148	13379.672131147541	257.4918032786885	893.4180327868852	7633.311475409836	46.35234797184053	1.3427243252046503	103.90006312699718	7.432634355800794	9.393255513857119	111.67781292518995	0.01949065361937022	122.0	29.52410476420929	5.487902997727572
red	16	9166.658536585366	94.58536585365853	5786.390243902439	80.60975609756098	315.7682926829268	6030.048780487805	92.36500546976092	1.3686764406319873	56.942940214245844	1.4686649817241588	3.287317162769671	87.16082713333573	0.010213030436305505	82.0	11.920845230868506	8.906644103361273
red	17	8423.621359223302	87.27184466019418	3663.4368932038833	9.116504854368932	211.71844660194174	6744.155339805825	77.9026417302892	1.2411393315710995	59.93322496251298	0.5369381414986109	3.4583940888798494	107.66527059579234	0.010254134621307701	103.0	18.760756382713627	7.796116006923762
red	18	8854.300970873786	90.94174757281553	1709.1456310679612	14.83495145631068	91.20388349514563	7264.26213592233	88.2232244024274	1.3587950256427428	21.927065316105434	0.4148931378572206	1.5923726687093671	50.06088659900024	0.010166493010332551	103.0	17.14950993780344	7.817847592473625
red	19	9651.684615384615	100.44615384615385	2464.7615384615383	15.176923076923076	112.38461538461539	7219.746153846154	82.64498111503671	1.3141947627251251	27.25003187413837	0.8487697595274063	2.0289147889341184	74.62698744960407	0.010299918676549582	130.0	21.251778170172596	7.923497098035707
red	20	6203.951219512195	62.34146341463415	3239.9268292682927	5.634146341463414	124.95121951219512	5593.926829268293	83.36998484975464	1.481036084475598	79.87421990632612	0.4192797109087738	4.291290131519413	24.681875766783357	0.009948699585081622	41.0	7.904831386074629	6.692019367026035
red	21	2455.787878787879	23.818181818181817	7441.030303030303	98.84848484848484	343.3030303030303	6215.363636363636	34.384707279855064	0.850057574298749	82.2814548063397	2.7188831270286626	4.593980340523692	49.166511522037865	0.00960563139306097	33.0	8.372143871642557	4.996688381265987
red	22	9572.09589041096	101.53881278538813	1460.849315068493	6.538812785388128	82.10045662100457	6453.442922374429	86.08155705618712	1.2582905782194018	11.727766293239187	0.30034487697770534	1.972538209002505	41.439924756537344	0.010496448946106868	219.0	25.79438636139297	11.22493966517983
red	23	8169.119047619048	86.02380952380952	4944.5952380952385	28.095238095238095	276.3333333333333	5968.357142857143	104.45738317925965	1.8055997851600933	77.17543447584167	0.7061517214822142	4.500272940408261	23.23816406675432	0.010420632448459258	42.0	7.4699009779523635	7.1429294450939995
red	24	8654.533333333333	88.22666666666667	6574.76	6.8933333333333335	366.73333333333335	8235.746666666666	74.46206332135898	1.3355412829705107	89.85738199317107	0.3084431636220604	5.446118563473201	48.95876575544256	0.010091397529689327	75.0	16.80444767030925	5.755172035873882
red	25	6455.9672131147545	66.55737704918033	2004.7377049180327	7.032786885245901	144.31147540983608	5966.737704918033	78.64689803071616	1.2548266588065744	39.341918657242424	0.3865288808270163	2.9190034288767874	56.92902789868777	0.010204235511744925	61.0	14.345065162373631	5.723760373968933
red	26	10120.411764705883	107.38997821350763	4401.921568627451	24.389978213507625	257.2135076252723	4497.063180827887	35.87790747903461	0.615502896443635	58.68861592976464	0.3991342122435114	4.883853789247669	79.40908134074363	0.010499810312401948	459.0	40.628915241470345	15.404413485810453
red	27	7735.413043478261	80.52173913043478	7471.282608695652	9.978260869565217	370.2826086956522	5788.565217391304	175.27204772763386	2.350791028519597	170.3190896790927	0.5780231044652417	7.784409740804975	65.5376387345594	0.01030225320067977	46.0	10.388370237241856	5.723835524764377
red	28	2800.618473895582	56.54216867469879	9263.044176706828	82.04016064257029	822.3493975903615	6036.220883534136	34.23075277662745	0.831042064441393	106.43729348977834	1.3803674883486141	23.875759251744316	79.25182220354293	0.019789635847648337	249.0	64.75180231542433	5.420010468452482
red	29	9610.324324324325	100.54954954954955	1680.078078078078	6.036036036036036	73.15015015015015	6239.129129129129	70.70637951112896	0.9820344754243738	17.36878162697561	0.22467535614840642	1.358799933991904	47.211571813706385	0.010354325558698477	333.0	31.64954174961282	15.46341461637588
red	30	4679.964028776978	92.25179856115108	16223.424460431655	125.76258992805755	1299.928057553957	6027.8705035971225	53.47263841307378	1.1883835341204063	131.21483786579518	7.758655651071947	53.8464007909692	54.61023260103487	0.01933101978177038	139.0	40.877362421442015	4.84230825055817
red	31	3429.88125	67.48125	14060.65625	108.05	725.35	6158.03125	30.229126801443247	0.8328683435780083	77.56497631365015	2.99419751352512	7.174494755730194	61.7129591725594	0.019294897226123972	160.0	48.782278152320565	4.3832736932146865
red	32	3865.0533333333333	79.01333333333334	14312.346666666666	151.74666666666667	996.2222222222222	7521.435555555556	51.68070506723871	1.3159380825240363	115.61108229675544	3.687192541691601	13.254465179249168	48.6377702777504	0.020033467994117746	225.0	54.90206379647731	6.082675927837315
red	33	1486.5181818181818	22.651515151515152	2825.069696969697	132.37878787878788	285.41515151515154	8304.266666666666	17.380312049331316	0.38663299276787216	39.91456916876464	2.981133900781838	3.912383067830112	104.99916360388085	0.015009256544839025	330.0	88.45331068444086	5.678959421374959
red	34	4524.202127659574	88.45744680851064	15844.063829787234	151.37234042553192	1085.8085106382978	5911.18085106383	45.953081894241	1.4030188700314519	147.27128326875157	4.031002087279164	25.50745848457228	55.95233162197314	0.01917710279296109	94.0	26.645890567644354	4.706039747804316
red	35	5252.580645161291	97.29032258064517	15297.838709677419	95.98387096774194	763.0645161290323	5623.758064516129	51.90078759077472	1.3226567831692302	158.37201523616076	1.846121441970591	7.894790461084035	53.64930097446603	0.018185545626665703	62.0	16.101135533669737	4.98781559939388
red	36	2586.090909090909	27.90909090909091	7217.857142857143	376.12987012987014	677.9480519480519	9747.688311688311	33.24086890813241	0.6788573481225312	72.21431511760981	4.4522674365027655	5.964925199657513	34.490138603675476	0.01067677540516102	77.0	19.035158701393875	5.361833369146569
red	37	4986.374233128834	110.69938650306749	15445.282208588957	116.3680981595092	1046.0920245398772	6614.300613496933	35.75790760561617	1.0915810421311611	108.682865188965	2.457558093728445	24.3428081126621	64.0924471419551	0.02171822397791106	163.0	43.45003090519919	5.320200412554925
red	38	1515.3625	15.3625	6157.6125	109.4625	693.5625	5840.2875	34.70681779091646	0.5411918993065212	113.73019813047402	3.3861825736181146	45.397452584609574	93.49737829504566	0.01003609400774143	80.0	18.301838266921852	7.002157956761258
red	39	4988.242811501597	95.9776357827476	16052.747603833866	127.72523961661342	1512.849840255591	5818.044728434505	28.041136875479918	0.9851392159362464	133.93457547099624	3.5852743762165167	43.929087412630516	32.67918222243773	0.018877551982234075	313.0	75.22557892090597	10.136874499101332
red	40	3749.4622641509436	79.10377358490567	12345.72641509434	66.52830188679245	990.6037735849056	5449.2169811320755	34.261223938151645	1.0477160945715773	126.72898550029623	1.1500311531039553	22.183763892273525	46.76835198854704	0.02066146249149886	106.0	20.410036690844265	6.757246285173463
