Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	4765.521739130435	90.0	11146.384057971014	6138.557971014493	49.97164835481769	1.3340026675356496	88.39805045797333	24.88033958467539	0.018535598198375674	138.0	42.40641529776364	4.986736828637812
red	2	5176.421052631579	101.0657894736842	8231.769736842105	6131.519736842105	87.58597948579319	1.8995432242850514	143.61413019797294	50.26250427585037	0.019150363136361256	152.0	47.42622217562532	8.58197323187722
red	3	5663.581896551724	110.41379310344827	7517.051724137931	7561.681034482759	83.52825148060154	1.7213462089078178	166.67360303400577	40.02680350027478	0.01912259707801103	232.0	44.377045565655514	8.207697178594378
red	4	5182.350649350649	75.20779220779221	11470.16883116883	6112.636363636364	46.158730026327305	1.1241589742283136	209.98472777964264	44.69936648891506	0.014304699233262193	77.0	13.299999654842184	7.481457873538446
red	5	4291.571428571428	77.13533834586467	7860.977443609023	6078.751879699248	59.2493762373222	1.3712596335602636	150.8449822066486	63.73909930626321	0.017656332288077545	133.0	34.0429638721687	7.450745301022716
red	6	6673.926530612245	112.89795918367346	9476.955102040816	6202.29387755102	35.086188797835646	1.3218973968088419	118.53894897497612	34.613654871362435	0.01663487236975364	245.0	66.91931532729413	6.271012887893956
red	7	5051.919786096257	94.67914438502673	7545.636363636364	6871.823529411765	92.13924689793905	1.8941411136933177	87.84148567529418	48.42074726756083	0.018396448929462787	187.0	51.05681084398792	7.167345708266506
red	8	4923.679841897233	82.4901185770751	8168.739130434783	4816.683794466403	57.38726195042739	1.050827703130725	124.40929010599864	52.04185897966275	0.016477690375749768	253.0	74.28977364945318	5.2828970449492845
red	9	4468.134615384615	61.49519230769231	9021.79326923077	5195.548076923077	90.28375410523189	1.8157298501912273	164.1599098754691	44.6209409668071	0.013576207089431446	208.0	58.981680944988014	7.049570628040576
red	10	6656.931506849315	86.12328767123287	8605.301369863013	6093.780821917808	63.373023536271155	2.1879199904443536	149.18171081908528	68.0425292991296	0.012772147089953539	73.0	21.606478990621696	4.359221588764396
red	11	5565.619047619048	65.79761904761905	7085.714285714285	6944.797619047619	78.92692827558082	1.5377689984530805	201.68096492534124	34.68354581458834	0.011684026052820169	84.0	21.34366922810639	6.027050265394557
red	12	4980.56338028169	97.64788732394366	6645.281690140845	6163.112676056338	117.74225467925571	2.659108572013956	168.68702649403352	40.10275212190247	0.01922879576650312	71.0	22.03592925761025	5.352784232513887
red	13	5985.275	114.64375	7246.53125	7517.6	63.76244360784607	1.3725075954650943	110.30932676805477	45.83675023248267	0.018794307711065824	160.0	47.73743902471688	5.754186768035718
red	14	6881.244897959184	140.98979591836735	11718.734693877552	7886.897959183673	55.6710053366761	1.4799434803094236	70.86612196162922	33.11378253370798	0.02007762515275822	196.0	46.893462084408725	6.554951970009026
red	15	5860.64705882353	199.1764705882353	8096.882352941177	7355.117647058823	110.15570830998719	4.411464811029755	267.8452426073318	125.8310833245626	0.03286836153256259	34.0	21.780838874822738	2.324066755218743
red	16	6603.455445544554	97.00990099009901	11432.148514851486	8105.950495049505	86.58828970183765	3.5771085156468847	261.0447903851454	62.84342935677362	0.014478084128928537	101.0	39.052333613314744	4.195991905282876
red	17	4586.77245508982	86.44311377245509	7251.383233532934	6016.730538922156	56.44798077068902	1.2145686215511275	137.1820857355084	57.68528395669432	0.01849756607600711	167.0	54.39200947056879	5.7243912617761685
red	18	7114.287581699346	143.1437908496732	7654.692810457516	9499.875816993464	59.133176059184244	1.6385405386542926	142.97988343031992	59.86854847302857	0.01972375397046255	153.0	31.254214516636043	6.6572082091318645
red	19	4862.092783505154	88.5360824742268	8873.896907216495	6058.144329896907	65.39941636475932	1.4911124279745134	150.75152614356125	63.45790180301833	0.01788380524394485	97.0	31.25499242514097	4.58431879865142
red	20	7244.51282051282	141.82051282051282	5902.0641025641025	9424.52564102564	56.659361820588984	2.0836188040899564	153.53449558507677	65.95483314043159	0.019200394352702668	78.0	17.361543442746516	5.967219621300522
red	21	5931.347826086957	106.16666666666667	7993.572463768116	5510.0	74.84537842315858	1.6478325664070714	112.31486897498112	30.84603444188167	0.017584498851984633	138.0	44.22438584058776	4.522059667328323
red	22	4866.16091954023	58.241379310344826	6537.022988505747	7138.632183908046	58.00701292348863	1.1147606816084965	167.35781464615525	17.355820308979258	0.01182709611762207	87.0	25.110874251991614	4.58702197783552
red	23	6189.897142857143	120.12571428571428	11593.84	5379.777142857143	53.36021789527197	1.4068199401569925	112.24779461785174	26.284541780415623	0.019037286711209557	175.0	54.1537553737737	6.593102405214037
red	24	4444.324561403509	84.06140350877193	4986.7192982456145	5837.4473684210525	46.54422251995161	1.3397402099132396	85.9856057341611	38.21883839019112	0.01856321527363454	114.0	21.850312362846164	6.862720797888862
red	25	7340.101321585903	141.07929515418502	14043.69603524229	5964.035242290749	61.56986434589162	1.52526366486592	113.89839992285299	36.280798399607825	0.01885789187317604	227.0	65.76704368279074	4.8280016845852645
red	26	5879.417910447762	110.4776119402985	11346.0	6075.201492537313	54.06661186383683	1.6216785860992555	96.41322651623639	49.34771086025728	0.018443996481636984	134.0	36.70686965626515	5.5611202687444745
red	27	4322.596774193548	79.19354838709677	6957.451612903225	5989.112903225807	44.54333396067604	0.9887292411995685	166.85410489355104	32.45107822316014	0.017991213252672115	124.0	43.81895763694772	5.387472702600591
red	28	5238.84	103.11333333333333	5985.453333333333	7451.48	69.04751155223161	1.6043977524754103	127.33113700956316	73.37720428337703	0.019302552249926056	150.0	40.778145589276896	5.231910429678804
red	29	5811.392857142857	97.40306122448979	10180.57142857143	5561.688775510204	50.0209558204268	1.2177232059937488	158.3457372367227	37.079673361223456	0.016484417903436938	196.0	34.15819412180443	12.057095121419016
red	30	5195.328358208955	100.72388059701493	8093.223880597015	6997.626865671642	48.15493574393487	1.3088195691651412	74.70936159799473	35.926293435250805	0.019018672032533386	134.0	35.22411334472938	5.603963758457507
red	31	5378.515789473684	90.21052631578948	8734.494736842105	5574.58947368421	70.64947904508902	1.569296452052589	164.98851189667772	30.090358823458857	0.016495710537814057	95.0	25.726147700290454	7.133814399207592
red	32	3768.3253012048194	71.62650602409639	6229.578313253012	5623.542168674699	43.69226271985023	1.2321845071703734	113.45005944443821	37.51628591519436	0.018652970042294707	83.0	25.87380599237545	6.471893071802432
red	33	5077.038461538462	90.73076923076923	11815.26923076923	5785.538461538462	106.98181139427588	2.25004003740571	245.6160328495016	111.37096868918672	0.017557047379467408	78.0	23.165163370986846	4.387964556766543
