Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1458.2790697674418	621.9302325581396	4442.3488372093025	3050.232558139535	21.316140680768914	9.55603979362852	41.90523295704665	10.56668219148052	0.2989748348220774	43.0	15.447749846544227	4.531461358031025
red	2	1438.2436974789916	601.6722689075631	4099.100840336135	3049.4957983193276	10.163996451518072	4.6302003877558375	29.3796592957515	10.811713067799698	0.2949495365602472	119.0	40.653181796150854	5.663826061960097
red	3	1506.316129032258	593.8516129032258	5153.212903225806	3139.5935483870967	12.513321117816936	5.106571176627983	40.001863626822164	6.527404468600597	0.28276389597144314	155.0	50.561279263228656	5.829694941929662
red	4	1266.4493506493507	539.787012987013	4132.127272727273	2930.7246753246754	9.824759448000865	4.396435587682345	37.779383441421345	8.098421733878553	0.29884627718395573	385.0	78.52337208824467	8.416123647929968
red	5	1095.8870967741937	52.41935483870968	4250.8387096774195	2712.0806451612902	17.348198526409348	1.554013364650166	52.79409571068178	8.38536887868268	0.04564927312311258	62.0	18.182473784532505	4.733384746021868
red	6	1021.8	422.925	4876.16	3029.94	11.582894715916225	5.844527087369858	31.574330111658742	9.67914675991639	0.2927373721642527	200.0	67.04851085294166	4.784892099406641
red	7	1473.92	620.9485714285714	4568.417142857143	3054.9142857142856	9.158488209618131	4.304243893942614	15.944307715444447	10.010319107288115	0.29641409484945525	175.0	63.303825275601284	4.077751402004802
red	8	744.7734375	24.6015625	3310.6015625	2620.390625	19.468973259541222	1.1916733739348477	67.91063817851337	7.920944490276522	0.03197603574329813	128.0	33.7032732216562	5.142739793523722
red	9	679.0925925925926	273.85185185185185	3253.777777777778	2654.3888888888887	4.233162182142657	2.151218577304266	20.133408506477636	5.3866451991993705	0.28737441458248314	162.0	43.78655833966082	5.208347485280168
red	10	914.4203821656051	356.3980891719745	3504.9904458598726	2856.6815286624205	6.778682065444915	2.960747779433338	15.492283302797262	7.202361603425649	0.2804476777842656	314.0	100.74599444794993	5.28353532582073
red	11	2059.0723684210525	881.75	3131.0	3857.7631578947367	28.653842419824944	13.558635135522572	25.7609401765767	39.815309786873414	0.29983109808615116	152.0	44.90280375001555	4.795613691536051
