,gas,retention_time,peak_area,peak_height,correction_factor,file_number,file_name,sample_type,column,carrier
0,CH4,3.105,23.7893,2.894,0.0009,1,data/gc_data/2023-06-01/01JUN23_TAC_FID_58.RES,BA3A-270-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.094,5706.0754,709.877,0.2067,2,data/gc_data/2023-06-01/01JUN23_TAC_FID_48.RES,BA4A-270-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.09,3372.0825,448.478,0.1222,3,data/gc_data/2023-06-01/01JUN23_TAC_FID_49.RES,BA4A-270-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.1,1263.8301,183.38,0.0458,4,data/gc_data/2023-06-01/01JUN23_TAC_FID_06.RES,BA1B-20-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.924,14.497,1.778,0.0019,4,data/gc_data/2023-06-01/01JUN23_TAC_FID_06.RES,BA1B-20-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.109,3744.6416,539.778,0.1357,5,data/gc_data/2023-06-01/01JUN23_TAC_FID_12.RES,BA1B-250-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.1,1397.6195,196.312,0.0506,6,data/gc_data/2023-06-01/01JUN23_TAC_FID_13.RES,BA1B-250-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.922,12.711,1.5,0.0016,6,data/gc_data/2023-06-01/01JUN23_TAC_FID_13.RES,BA1B-250-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.1,1602.5616,232.097,0.0581,7,data/gc_data/2023-06-01/01JUN23_TAC_FID_07.RES,BA1B-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.922,11.7936,1.428,0.0015,7,data/gc_data/2023-06-01/01JUN23_TAC_FID_07.RES,BA1B-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
