,gas,retention_time,peak_area,peak_height,correction_factor,file_number,file_name,sample_type,column,carrier
0,CH4,3.090,68.4997,9.642,0.0025,2,data/gc_data/2023-03-14/03MAR23FID_TC_36.RES,failed_injection,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.535,1625.3937,192.282,0.0622,3,data/gc_data/2023-03-14/13MAR23FID_TC_12.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.088,1620.0976,185.646,0.0587,3,data/gc_data/2023-03-14/13MAR23FID_TC_12.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.917,1573.6275,157.118,0.2015,3,data/gc_data/2023-03-14/13MAR23FID_TC_12.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.079,4996.3936,662.778,0.1810,4,data/gc_data/2023-03-14/03MAR23FID_TC_34.RES,BA4A-270-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.515,968.0830,145.374,0.0370,6,data/gc_data/2023-03-14/13MAR23FID_TC_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.070,965.5585,133.972,0.0350,6,data/gc_data/2023-03-14/13MAR23FID_TC_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.905,913.3690,106.302,0.1170,6,data/gc_data/2023-03-14/13MAR23FID_TC_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.080,7684.2421,927.482,0.2784,7,data/gc_data/2023-03-14/13MAR23FID_TC_17.RES,BA1B-20-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.072,940.5256,117.403,0.0341,9,data/gc_data/2023-03-14/13MAR23FID_TC_16.RES,BA1B-20-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.534,535.5867,80.320,0.0205,10,data/gc_data/2023-03-14/13MAR23FID_TC_14.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.090,533.4608,73.286,0.0193,10,data/gc_data/2023-03-14/13MAR23FID_TC_14.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.924,513.4177,59.601,0.0658,10,data/gc_data/2023-03-14/13MAR23FID_TC_14.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.076,1291.5387,150.987,0.0468,11,data/gc_data/2023-03-14/13MAR23FID_TC_28.RES,BA4A-150-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.092,4350.1192,553.280,0.1576,12,data/gc_data/2023-03-14/03MAR23FID_TC_32.RES,BA4A-270-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.109,2540.7052,346.563,0.0921,13,data/gc_data/2023-03-14/03MAR23FID_TC_33.RES,BA4A-270-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.095,3181.0086,444.058,0.1153,14,data/gc_data/2023-03-14/13MAR23FID_TC_29.RES,BA4A-150-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.104,1357.6753,198.042,0.0492,15,data/gc_data/2023-03-14/13MAR23FID_TC_15.RES,BA1B-20-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.121,85.6499,12.225,0.0031,16,data/gc_data/2023-03-14/03MAR23FID_TC_40.RES,BA3A-20-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.107,78.9504,10.988,0.0029,17,data/gc_data/2023-03-14/03MAR23FID_TC_41.RES,BA3A-20-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.092,24.1695,3.332,0.0009,18,data/gc_data/2023-03-14/03MAR23FID_TC_43.RES,BA3A-150-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.104,17.9851,2.489,0.0007,19,data/gc_data/2023-03-14/03MAR23FID_TC_42.RES,BA3A-150-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.095,10.8043,1.513,0.0004,20,data/gc_data/2023-03-14/03MAR23FID_TC_46.RES,BA3A-270-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.089,21.0490,2.938,0.0008,21,data/gc_data/2023-03-14/03MAR23FID_TC_47.RES,BA3A-270-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.090,10.1982,1.404,0.0004,22,data/gc_data/2023-03-14/03MAR23FID_TC_45.RES,BA3A-150-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.095,13.0533,1.793,0.0005,24,data/gc_data/2023-03-14/03MAR23FID_TC_48.RES,BA3A-270-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.105,218.3776,26.335,0.0079,25,data/gc_data/2023-03-14/13MAR23FID_TC_18.RES,BA1B-150-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.926,18.4397,1.864,0.0024,25,data/gc_data/2023-03-14/13MAR23FID_TC_18.RES,BA1B-150-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.081,4156.5867,498.982,0.1506,26,data/gc_data/2023-03-14/13MAR23FID_TC_24.RES,BA4A-20-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.099,3616.4683,441.776,0.1310,27,data/gc_data/2023-03-14/13MAR23FID_TC_25.RES,BA4A-20-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,2.996,326.2653,38.679,0.0118,28,data/gc_data/2023-03-14/13MAR23FID_TC_19.RES,BA1B-150-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.088,2980.4089,391.896,0.1080,29,data/gc_data/2023-03-14/13MAR23FID_TC_27.RES,BA4A-150-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.054,4937.5271,611.330,0.1789,30,data/gc_data/2023-03-14/13MAR23FID_TC_26.RES,BA4A-20-Bic-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.096,3794.7338,480.338,0.1375,31,data/gc_data/2023-03-14/13MAR23FID_TC_22.RES,BA1B-250-Form-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.114,61.9235,8.776,0.0022,33,data/gc_data/2023-03-14/03MAR23FID_TC_39.RES,BA3A-20-AC-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
