,gas,retention_time,peak_area,peak_height,correction_factor,file_number,file_name,sample_type,column,carrier
0,CO,1.385,995.3746,171.388,0.0381,1,data/gc_data/2024-02-28/28FEB24_TAC_FID_11.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.944,1023.3030,165.926,0.0371,1,data/gc_data/2024-02-28/28FEB24_TAC_FID_11.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.796,847.4239,104.745,0.1085,1,data/gc_data/2024-02-28/28FEB24_TAC_FID_11.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.390,980.6976,166.317,0.0375,2,data/gc_data/2024-02-28/28FEB24_TAC_FID_10.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.951,1007.1370,161.467,0.0365,2,data/gc_data/2024-02-28/28FEB24_TAC_FID_10.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.808,837.9337,103.141,0.1073,2,data/gc_data/2024-02-28/28FEB24_TAC_FID_10.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.383,937.6887,163.882,0.0359,3,data/gc_data/2024-02-28/28FEB24_TAC_FID_12.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.942,962.7810,157.562,0.0349,3,data/gc_data/2024-02-28/28FEB24_TAC_FID_12.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.794,800.4958,99.988,0.1025,3,data/gc_data/2024-02-28/28FEB24_TAC_FID_12.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.390,964.7984,163.176,0.0369,4,data/gc_data/2024-02-28/28FEB24_TAC_FID_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.950,990.0487,158.089,0.0359,4,data/gc_data/2024-02-28/28FEB24_TAC_FID_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.804,825.3319,101.109,0.1057,4,data/gc_data/2024-02-28/28FEB24_TAC_FID_13.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.377,389.0448,88.169,0.0149,5,data/gc_data/2024-02-28/28FEB24_TAC_FID_17.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.937,396.2010,77.091,0.0144,5,data/gc_data/2024-02-28/28FEB24_TAC_FID_17.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.790,340.7017,47.343,0.0436,5,data/gc_data/2024-02-28/28FEB24_TAC_FID_17.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.378,349.7520,79.347,0.0134,6,data/gc_data/2024-02-28/28FEB24_TAC_FID_16.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.937,354.8985,69.047,0.0129,6,data/gc_data/2024-02-28/28FEB24_TAC_FID_16.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.789,307.4378,42.681,0.0394,6,data/gc_data/2024-02-28/28FEB24_TAC_FID_16.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.387,961.7139,164.468,0.0368,7,data/gc_data/2024-02-28/28FEB24_TAC_FID_14.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.946,988.5697,159.005,0.0358,7,data/gc_data/2024-02-28/28FEB24_TAC_FID_14.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.800,819.0113,100.711,0.1049,7,data/gc_data/2024-02-28/28FEB24_TAC_FID_14.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.386,1593.2764,200.918,0.0610,8,data/gc_data/2024-02-28/28FEB24_TAC_FID_28.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.945,1653.6036,211.547,0.0599,8,data/gc_data/2024-02-28/28FEB24_TAC_FID_28.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
