""	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"
"ASV_59"	0	1	0	0	1	0	0	0	1	1	1	3	0	1	0	1	1	0	2	2	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	5	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	9	26	0	45	40	477	440	78	188	2	3
"ASV_60"	94	170	135	458	0	0	3	5	53	36	83	7	2	12	3	85	7	7	48	19	53	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"ASV_61"	0	3	56	0	0	0	1	2	0	0	10	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	55	100	75	4	3	336	0	0	23	271	2	15	10	241	8	8	0	0	8	4	2	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0
"ASV_62"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	379	255	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_63"	1	8	16	305	1	0	21	49	218	5	37	13	93	51	37	12	83	17	57	15	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_64"	28	35	851	14	1	0	9	0	1	0	51	0	3	4	3	9	1	1	4	5	8	0	0	0	6	0	0	1	3	0	0	1	1	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_65"	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	975	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	52
"ASV_66"	5	81	105	0	0	0	1	0	0	0	2	0	46	0	7	0	0	0	0	0	1	0	80	1	0	15	6	42	0	0	14	20	13	0	1	107	3	0	0	70	2	1	0	39	2	6	17	3	0	0	0	23	191	18	57	0	0	0	0	0	0	0	0	0	0	0
"ASV_67"	10	8	107	26	0	9	328	278	10	9	117	11	1	1	1	2	0	4	4	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	9	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ASV_68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	191	35	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_69"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	183	452	243	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_70"	0	33	3	2	0	0	0	0	0	64	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	2	502	56	5	2	1	44	0	0	0	37	2	0	61	0	0	0	0	27	0	4	1	0	0	0	0	1	0	0	0	0	0	0
"ASV_71"	0	2	0	0	0	0	1	2	0	0	0	0	0	0	127	1	25	0	0	20	0	2	0	1	0	0	0	1	1	0	0	30	1	0	0	14	26	2	1	5	0	0	0	0	0	1	108	163	44	39	11	48	125	0	59	0	0	0	0	0	0	0	0	0	0	1
"ASV_72"	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	108	0	0	0	0	0	68	137	0	176	0	172	50	93	0	0	0	0	0	12	0	0	0	19	0	0	0	12	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_73"	0	0	147	0	0	0	594	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	5	6	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ASV_74"	1	1	12	0	6	0	29	26	3	17	18	0	0	0	8	0	3	2	1	0	0	1	1	3	1	0	5	1	7	0	74	55	259	4	0	3	0	0	16	0	0	14	1	0	5	1	10	26	21	55	1	12	15	16	31	0	0	0	0	0	0	0	0	0	0	39
"ASV_75"	0	0	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	98	297	0	0	55	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_76"	2	2	2	6	0	2	4	0	1	0	3	3	3	3	0	3	2	3	1	2	1	2	0	0	1	0	2	0	4	0	1	6	2	1	0	8	2	1	3	4	3	1	4	4	1	2	0	1	5	2	1	4	2	0	0	11	1	4	40	0	0	0	0	6	28	531
"ASV_77"	0	2	107	6	0	0	293	33	20	2	138	16	0	1	0	2	2	1	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0
"ASV_78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	0	0
"ASV_79"	0	3	588	10	0	0	2	0	1	0	76	0	0	1	2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ASV_80"	30	48	5	71	0	0	8	5	196	100	19	21	8	24	8	15	10	11	6	16	15	29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_81"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	1	1	0	8	0	0	1	149	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_82"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0
"ASV_83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_84"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	83	90	0	0	0	0	204	0	0	4
"ASV_85"	41	40	20	121	0	0	25	35	48	7	80	2	10	26	13	36	0	19	14	6	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	7	0	2	1	108	5	0	0	0	0	3	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_87"	9	11	63	7	0	2	55	13	4	16	220	5	6	8	61	9	23	21	14	9	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	524	0	0	0	0	2	0	0	33
"ASV_89"	0	0	1	0	0	0	0	0	541	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_90"	0	0	39	0	1	0	147	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	5	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0
"ASV_91"	0	0	2	0	0	0	0	1	505	0	0	0	3	0	12	0	0	2	5	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_92"	1	0	8	171	6	0	13	34	111	1	13	6	38	17	25	4	27	7	33	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_93"	0	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	54	3	17	0	127	2	5	24	120	5	24	3	112	2	3	0	0	2	1	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_94"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	1	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	89	0	21	0	0	174	0	0	0	198
"ASV_95"	24	32	2	27	0	0	0	0	220	55	10	39	3	14	1	21	0	4	10	5	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_96"	3	9	70	27	0	3	46	6	19	17	245	8	3	5	3	11	3	6	7	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0
"ASV_98"	4	1	0	150	0	0	0	62	217	23	4	13	0	6	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_99"	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	41	72	75	2	2	123	1	0	5	60	0	4	1	46	6	1	0	1	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_101"	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	7	1	0	34	36	0	43	12	34	0	9	54	150	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4
"ASV_102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	463	0	0	0	0	0	0	0	0
"ASV_103"	34	13	183	30	0	0	4	0	11	31	102	0	3	4	6	14	2	8	8	4	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_104"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	428	0	0
"ASV_105"	10	0	6	15	1	1	5	241	93	2	14	19	0	5	2	5	2	2	3	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_106"	1	1	1	0	3	1	1	0	0	2	1	0	0	2	0	0	0	0	2	0	1	0	1	0	1	1	0	1	3	0	0	1	2	1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	1	0	0	1	0	0	89	33	3	0	30	27	39	82	0	56	33
"ASV_107"	0	0	28	0	0	0	24	1	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	153	0	1	0	85	0	3	0	113	7	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_108"	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	297	0	0	0	0	82	0	0	0
"ASV_109"	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	63	7	1	4	61	0	12	2	89	5	0	29	30	3	5	3	66	0	0	27	0	0	0	0	0	0	0	0	0	0	0
"ASV_110"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	5	330	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	53
"ASV_111"	1	1	89	3	0	1	14	1	0	0	148	0	47	12	9	0	1	6	4	13	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_112"	6	3	8	4	7	2	8	4	4	3	8	8	10	9	4	15	5	5	3	4	4	4	5	6	2	8	7	8	5	3	5	6	10	3	1	13	10	6	10	9	4	7	3	6	4	7	1	5	9	5	2	5	4	4	2	2	0	1	0	0	0	0	46	0	0	4
"ASV_113"	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	5	27	0	0	7	4	0	0	0	0	0	0	5	2	13	29	98	0	0	43	43	55	5	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_114"	1	4	0	0	2	1	0	0	0	0	0	1	2	1	22	3	14	1	4	15	0	1	0	3	1	1	1	0	0	4	1	16	1	0	3	19	15	1	1	17	0	4	1	7	2	1	32	43	16	10	3	15	29	2	26	0	0	0	0	0	0	0	0	0	0	2
"ASV_115"	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	328	0	0	0
"ASV_116"	0	0	1	0	233	0	1	47	0	0	1	0	0	0	38	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_117"	0	0	11	0	0	0	2	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	27	52	1	0	52	2	1	6	56	0	6	1	60	5	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_118"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	329	0	0	0
"ASV_119"	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	321	0	0	0	0	0
"ASV_120"	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	290	20	1
"ASV_121"	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	23	38	5	0	64	29	99	61	0	0
"ASV_122"	0	0	48	1	0	0	34	2	0	0	150	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0
"ASV_123"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0
"ASV_124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0
"ASV_125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	10	3	0	93	0	1	2	77	0	7	0	98	4	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_126"	0	0	44	2	0	6	225	29	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_127"	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	19	138	18	1	0	48	0	0	0	30	0	0	0	34	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_128"	9	1	6	4	4	8	6	5	4	1	3	1	4	4	2	6	5	9	8	7	4	2	3	6	6	7	6	7	9	5	6	6	7	5	2	13	9	8	12	3	7	4	4	5	5	7	2	5	6	6	5	6	14	3	8	0	0	0	0	0	1	1	0	1	0	3
"ASV_129"	1	0	0	1	0	0	5	6	50	0	3	17	2	20	1	63	15	1	31	1	87	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_130"	1	20	2	18	0	0	3	0	93	84	7	51	0	0	2	14	0	2	1	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_131"	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	67	2	1	8	34	0	3	4	45	132	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_132"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	4	0	0	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
"ASV_133"	3	2	23	0	0	0	9	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	196	14	0	0	12	0	0	0	2	2	0	2	9	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_134"	3	3	35	7	0	5	105	63	2	7	28	0	6	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	8	1	6	0	0	4	1	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0
"ASV_136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	64	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_137"	1	0	109	1	0	0	4	0	5	0	166	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_138"	0	0	10	0	0	1	43	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	55	37	0	0	31	0	0	1	37	1	0	0	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_139"	3	2	4	6	4	1	12	4	1	5	14	2	7	5	5	3	4	4	6	6	4	2	8	6	3	7	2	4	2	6	9	7	14	1	3	19	5	2	8	6	6	4	4	14	2	2	3	2	3	3	4	4	1	2	4	0	1	2	0	0	0	0	0	0	0	3
"ASV_140"	4	15	63	22	0	0	3	2	1	6	36	0	3	15	4	43	0	5	15	9	22	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	276	0	0	0	0	0	0	0	0	0	1
"ASV_142"	0	0	4	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	20	0	1	3	1	0	21	12	32	10	2	23	7	7	24	19	14	6	5	25	10	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	28	0	13	183	4	10	0	0	29	0	0	0	0	0	0	0	0	0	0	0
"ASV_144"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0
"ASV_145"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	0	0	0
"ASV_146"	0	0	8	0	0	0	0	10	0	0	4	0	1	24	21	1	16	6	18	1	0	1	0	0	0	0	0	0	0	0	8	15	22	2	2	23	3	0	2	5	1	0	1	14	51	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0
"ASV_148"	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	239	0
"ASV_149"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	1	0	0	0	0	0	0
"ASV_150"	0	0	25	0	0	0	17	0	0	0	28	0	5	8	27	0	12	12	30	80	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
