"","depth_m","cond_uscm","pH","temp_C","direction"
"1678",268.56,6081,11.54,42,"Descending"
"1679",268.8,6084,11.55,42,"Descending"
"1680",269.07,6082,11.55,42.01,"Descending"
"1681",269.28,6084,11.55,42.02,"Descending"
"1682",269.42,6083,11.55,42.02,"Descending"
"1683",269.51,6086,11.55,42.03,"Descending"
"1684",269.65,6086,11.55,42.04,"Descending"
"1685",269.82,6083,11.55,42.04,"Descending"
"1686",270.05,6086,11.55,42.05,"Descending"
"1687",270.39,6087,11.55,42.06,"Descending"
"1688",270.56,6087,11.54,42.06,"Descending"
"1689",270.76,6086,11.54,42.07,"Descending"
"1690",270.9,6090,11.55,42.08,"Descending"
"1691",271,6087,11.55,42.08,"Descending"
"1692",271.11,6087,11.55,42.09,"Descending"
"1693",271.19,6087,11.55,42.09,"Descending"
"1694",271.28,6089,11.55,42.1,"Descending"
"1695",271.39,6087,11.55,42.1,"Descending"
"1696",271.52,6089,11.55,42.11,"Descending"
"1697",271.67,6090,11.56,42.11,"Descending"
"1698",271.8,6090,11.56,42.11,"Descending"
"1699",271.92,6089,11.55,42.12,"Descending"
"1700",272.02,6089,11.55,42.12,"Descending"
"1701",272.16,6091,11.55,42.13,"Descending"
"1702",272.29,6092,11.55,42.14,"Descending"
"1703",272.41,6091,11.56,42.14,"Descending"
"1704",272.53,6091,11.55,42.14,"Descending"
"1705",272.63,6094,11.55,42.15,"Descending"
"1706",272.79,6093,11.55,42.15,"Descending"
"1707",273.04,6094,11.55,42.16,"Descending"
"1708",273.27,6094,11.55,42.16,"Descending"
"1709",273.5,6094,11.55,42.17,"Descending"
"1710",273.73,6094,11.55,42.18,"Descending"
"1711",273.9,6096,11.55,42.18,"Descending"
"1712",274.12,6095,11.55,42.19,"Descending"
"1713",274.28,6098,11.55,42.19,"Descending"
"1714",274.51,6098,11.54,42.2,"Descending"
"1715",274.73,6097,11.54,42.2,"Descending"
"1716",274.92,6099,11.55,42.21,"Descending"
"1717",275.07,6098,11.54,42.22,"Descending"
"1718",275.19,6099,11.54,42.22,"Descending"
"1719",275.32,6098,11.55,42.23,"Descending"
"1720",275.55,6099,11.54,42.23,"Descending"
"1721",275.69,6101,11.54,42.24,"Descending"
"1722",275.81,6103,11.54,42.24,"Descending"
"1723",275.93,6102,11.55,42.25,"Descending"
"1724",276.03,6101,11.55,42.26,"Descending"
"1725",276.13,6102,11.54,42.26,"Descending"
"1726",276.26,6103,11.54,42.27,"Descending"
"1727",276.39,6103,11.55,42.27,"Descending"
"1728",276.54,6103,11.55,42.27,"Descending"
"1729",276.7,6103,11.54,42.28,"Descending"
"1730",276.88,6104,11.55,42.28,"Descending"
"1731",277.06,6105,11.55,42.29,"Descending"
"1732",277.23,6103,11.54,42.3,"Descending"
"1733",277.4,6104,11.55,42.3,"Descending"
"1734",277.59,6105,11.55,42.31,"Descending"
"1735",277.79,6106,11.55,42.31,"Descending"
"1736",278.01,6106,11.55,42.32,"Descending"
"1737",278.17,6108,11.55,42.32,"Descending"
"1738",278.33,6106,11.55,42.33,"Descending"
"1739",278.51,6108,11.54,42.33,"Descending"
"1740",278.72,6106,11.55,42.34,"Descending"
"1741",278.92,6109,11.54,42.35,"Descending"
"1742",279.11,6109,11.54,42.35,"Descending"
"1743",279.26,6108,11.54,42.35,"Descending"
"1744",279.49,6112,11.54,42.36,"Descending"
"1745",279.73,6110,11.54,42.37,"Descending"
"1746",279.86,6111,11.55,42.37,"Descending"
"1747",279.95,6110,11.55,42.38,"Descending"
"1748",279.98,6112,11.55,42.38,"Descending"
"1749",280.03,6113,11.55,42.39,"Descending"
"1750",280.04,6109,11.55,42.39,"Descending"
"1751",280.06,6112,11.54,42.39,"Descending"
"1752",280,6111,11.53,42.39,"Descending"
"1753",279.98,6110,11.54,42.4,"Descending"
"1754",279.99,6109,11.55,42.4,"Descending"
"1755",280,6110,11.54,42.4,"Descending"
"1756",280.06,6112,11.55,42.41,"Descending"
"1757",280.28,6110,11.54,42.41,"Descending"
"1758",280.43,6110,11.54,42.42,"Descending"
