cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.00,7.28,959.70,24.27,-0.55,455.43
0.00,7.29,959.70,24.27,-0.55,455.43
0.00,7.29,959.10,24.27,-0.55,460.65
0.00,7.29,959.20,24.27,-0.55,459.78
0.00,7.29,959.10,24.27,-0.55,460.65
0.00,7.29,959.30,24.27,-0.55,458.91
0.00,7.29,959.20,24.27,-0.55,459.78
0.00,7.29,959.50,24.26,-0.55,457.17
0.00,7.29,959.40,24.26,-0.55,458.04
0.00,7.29,959.60,24.26,-0.55,456.30
0.00,7.29,959.30,24.26,-0.55,458.91
0.00,7.29,959.30,24.25,-0.55,458.91
0.00,7.29,959.70,24.25,-0.55,455.43
0.00,7.29,959.40,24.26,-0.55,458.04
0.00,7.29,959.40,24.26,-0.55,458.04
0.00,7.29,959.60,24.26,-0.55,456.30
0.00,7.29,959.60,24.26,-0.55,456.30
0.00,7.29,959.30,24.26,-0.55,458.91
0.00,7.29,959.60,24.26,-0.55,456.30
0.00,7.29,959.70,24.27,-0.55,455.43
0.00,7.30,959.40,24.27,-0.55,458.04
0.00,7.30,959.60,24.27,-0.55,456.30
0.00,7.29,959.80,24.28,-0.54,454.56
0.00,7.30,959.00,24.28,-0.55,461.52
0.00,7.30,959.40,24.28,-0.55,458.04
0.00,7.30,959.30,24.28,-0.55,458.91
0.00,7.30,959.30,24.28,-0.55,458.91
0.00,7.30,959.90,24.28,-0.54,453.69
0.00,7.30,959.50,24.28,-0.55,457.17
0.00,7.30,959.50,24.29,-0.55,457.17
0.00,7.30,959.50,24.29,-0.55,457.17
0.00,7.30,959.50,24.29,-0.55,457.17
0.00,7.29,959.40,24.29,-0.55,458.04
0.00,7.30,959.80,24.30,-0.54,454.56
0.00,7.30,960.00,24.30,-0.54,452.82
0.00,7.30,959.70,24.30,-0.55,455.43
0.00,7.30,959.20,24.31,-0.55,459.78
0.00,7.30,959.50,24.31,-0.55,457.17
0.00,7.30,959.50,24.32,-0.55,457.17
0.00,7.30,959.30,24.32,-0.55,458.91
0.00,7.30,959.50,24.32,-0.55,457.17
cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.00,7.30,959.60,24.33,-0.55,456.30
0.00,7.30,959.80,24.34,-0.54,454.56
0.00,7.30,959.50,24.34,-0.55,457.17
0.00,7.30,959.50,24.34,-0.55,457.17
0.00,7.30,959.60,24.35,-0.55,456.30
0.00,7.30,959.60,24.35,-0.55,456.30
0.00,7.30,959.60,24.36,-0.55,456.30
0.00,7.31,959.30,24.36,-0.55,458.91
0.00,7.31,959.90,24.37,-0.54,453.69
0.00,7.31,959.70,24.37,-0.55,455.43
0.00,7.31,959.40,24.38,-0.55,458.04
0.00,7.31,959.40,24.38,-0.55,458.04
0.00,7.31,959.40,24.38,-0.55,458.04
0.00,7.31,959.60,24.39,-0.55,456.30
0.00,7.31,960.00,24.40,-0.54,452.82
0.00,7.31,959.60,24.40,-0.55,456.30
0.00,7.31,959.50,24.41,-0.55,457.17
0.00,7.31,959.60,24.41,-0.55,456.30
0.00,7.31,959.60,24.41,-0.55,456.30
0.00,7.31,959.30,24.42,-0.55,458.91
0.00,7.31,959.60,24.42,-0.55,456.30
0.00,7.31,959.40,24.42,-0.55,458.04
0.00,7.31,959.70,24.43,-0.55,455.43
0.00,7.31,959.30,24.43,-0.55,458.91
0.00,7.31,959.60,24.43,-0.55,456.30
0.00,7.31,959.10,24.43,-0.55,460.65
0.00,7.31,959.40,24.44,-0.55,458.04
0.00,7.31,959.80,24.44,-0.54,454.56
0.00,7.31,959.50,24.43,-0.55,457.17
0.00,7.31,959.20,24.47,-0.55,459.78
0.00,7.31,959.90,24.44,-0.54,453.69
0.00,7.31,959.50,24.43,-0.55,457.17
0.00,7.31,960.00,24.43,-0.54,452.82
0.00,7.31,959.50,24.43,-0.55,457.17
0.00,7.31,959.60,24.42,-0.55,456.30
0.00,7.31,959.50,24.41,-0.55,457.17
0.00,7.31,960.10,24.41,-0.54,451.95
0.00,7.31,960.10,24.41,-0.54,451.95
0.00,7.31,959.90,24.40,-0.54,453.69
0.00,7.30,959.60,24.40,-0.55,456.30
0.00,7.30,959.70,24.40,-0.55,455.43
0.00,7.31,959.50,24.40,-0.55,457.17
0.00,7.31,959.20,24.39,-0.55,459.78
0.00,7.31,959.70,24.39,-0.55,455.43
0.00,7.31,959.40,24.39,-0.55,458.04
0.00,7.31,959.80,24.38,-0.54,454.56
0.00,7.31,959.50,24.38,-0.55,457.17
0.00,7.31,959.90,24.38,-0.54,453.69
0.00,7.30,959.80,24.38,-0.54,454.56
0.00,7.32,959.90,24.38,-0.54,453.69
0.00,7.31,959.40,24.39,-0.55,458.04
0.00,7.37,959.20,24.39,-0.55,459.78
0.00,7.35,959.40,24.40,-0.55,458.04
0.00,7.50,959.90,24.40,-0.54,453.69
0.00,7.41,959.60,24.41,-0.55,456.30
0.00,7.37,959.70,24.42,-0.55,455.43
0.00,7.34,959.20,24.42,-0.55,459.78
0.00,7.23,959.50,24.42,-0.55,457.17
0.00,7.08,959.30,24.44,-0.55,458.91
0.00,7.06,959.60,24.45,-0.55,456.30
0.00,7.03,959.80,24.45,-0.54,454.56
0.00,7.04,959.60,24.46,-0.55,456.30
0.00,7.12,959.30,24.46,-0.55,458.91
0.00,7.06,959.80,24.47,-0.54,454.56
