,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
0,CH4,3.087,3643.9900,443.737,0.1320,data/gc_data/2023-06-01/01JUN23_TAC_FID_16.RES,BA4A-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.562,1352.3915,165.150,0.0518,data/gc_data/2023-06-01/01JUN23_TAC_FID_02.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.111,1362.4929,162.871,0.0494,data/gc_data/2023-06-01/01JUN23_TAC_FID_02.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.945,1331.1325,139.855,0.1705,data/gc_data/2023-06-01/01JUN23_TAC_FID_02.RES,1ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.114,162.3285,20.208,0.0059,data/gc_data/2023-06-01/01JUN23_TAC_FID_27.RES,BA3A-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.104,12255.1116,1462.490,0.4440,data/gc_data/2023-06-01/01JUN23_TAC_FID_33.RES,BA1B-20-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.123,14.7010,1.814,0.0005,data/gc_data/2023-06-01/01JUN23_TAC_FID_32.RES,BA3A-270-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.110,20.3853,2.616,0.0007,data/gc_data/2023-06-01/01JUN23_TAC_FID_26.RES,BA3A-150-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.923,10.9278,1.160,0.0014,data/gc_data/2023-06-01/01JUN23_TAC_FID_26.RES,BA3A-150-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.117,1122.3410,138.998,0.0407,data/gc_data/2023-06-01/01JUN23_TAC_FID_18.RES,BA4A-150-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.120,18.5175,2.277,0.0007,data/gc_data/2023-06-01/01JUN23_TAC_FID_30.RES,BA3A-270-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.115,135.4195,17.130,0.0049,data/gc_data/2023-06-01/01JUN23_TAC_FID_24.RES,BA3A-20-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.101,34.6919,4.323,0.0013,data/gc_data/2023-06-01/01JUN23_TAC_FID_31.RES,BA3A-270-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.090,2819.3424,344.795,0.1022,data/gc_data/2023-06-01/01JUN23_TAC_FID_19.RES,BA4A-150-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.907,10.6684,1.105,0.0014,data/gc_data/2023-06-01/01JUN23_TAC_FID_19.RES,BA4A-150-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.087,2834.8466,351.441,0.1027,data/gc_data/2023-06-01/01JUN23_TAC_FID_35.RES,BA1B-20-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.115,4249.1090,546.779,0.1540,data/gc_data/2023-06-01/01JUN23_TAC_FID_21.RES,BA4A-270-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.110,1347.2625,194.189,0.0488,data/gc_data/2023-06-01/01JUN23_TAC_FID_09.RES,BA1B-150-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.930,13.0005,1.553,0.0017,data/gc_data/2023-06-01/01JUN23_TAC_FID_09.RES,BA1B-150-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.109,1333.0615,193.662,0.0483,data/gc_data/2023-06-01/01JUN23_TAC_FID_08.RES,BA1B-150-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.925,34.7871,4.193,0.0045,data/gc_data/2023-06-01/01JUN23_TAC_FID_08.RES,BA1B-150-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.079,1521.1349,196.507,0.0551,data/gc_data/2023-06-01/01JUN23_TAC_FID_20.RES,BA4A-270-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.096,3496.4904,442.450,0.1267,data/gc_data/2023-06-01/01JUN23_TAC_FID_34.RES,BA1B-20-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.100,4067.6664,542.866,0.1474,data/gc_data/2023-06-01/01JUN23_TAC_FID_22.RES,BA4A-270-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.078,6866.8225,885.421,0.2488,data/gc_data/2023-06-01/01JUN23_TAC_FID_36.RES,BA1B-150-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.085,4972.4755,621.259,0.1802,data/gc_data/2023-06-01/01JUN23_TAC_FID_37.RES,BA1B-150-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.110,159.7988,19.646,0.0058,data/gc_data/2023-06-01/01JUN23_TAC_FID_23.RES,BA3A-20-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.135,4721.2856,581.722,0.1711,data/gc_data/2023-06-01/01JUN23_TAC_FID_44.RES,BA4A-20-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.098,3831.7354,473.019,0.1388,data/gc_data/2023-06-01/01JUN23_TAC_FID_50.RES,BA4A-270-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.109,98.2627,12.507,0.0036,data/gc_data/2023-06-01/01JUN23_TAC_FID_51.RES,BA3A-20-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.080,4999.2643,590.692,0.1811,data/gc_data/2023-06-01/01JUN23_TAC_FID_45.RES,BA4A-150-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.093,23.7386,2.876,0.0009,data/gc_data/2023-06-01/01JUN23_TAC_FID_53.RES,BA3A-150-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.105,2601.4149,316.606,0.0943,data/gc_data/2023-06-01/01JUN23_TAC_FID_47.RES,BA4A-150-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.097,2575.3552,300.604,0.0933,data/gc_data/2023-06-01/01JUN23_TAC_FID_46.RES,BA4A-150-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.115,44.2212,6.096,0.0016,data/gc_data/2023-06-01/01JUN23_TAC_FID_52.RES,BA3A-20-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.095,18.1641,2.356,0.0007,data/gc_data/2023-06-01/01JUN23_TAC_FID_56.RES,BA3A-270-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.095,7047.8653,877.063,0.2554,data/gc_data/2023-06-01/01JUN23_TAC_FID_42.RES,BA4A-20-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.084,6436.9261,823.138,0.2332,data/gc_data/2023-06-01/01JUN23_TAC_FID_43.RES,BA4A-20-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.110,18.3173,2.427,0.0007,data/gc_data/2023-06-01/01JUN23_TAC_FID_57.RES,BA3A-270-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.102,4886.5143,609.341,0.1770,data/gc_data/2023-06-01/01JUN23_TAC_FID_41.RES,BA1B-250-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.111,22.9024,3.038,0.0008,data/gc_data/2023-06-01/01JUN23_TAC_FID_55.RES,BA3A-150-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.097,22.1459,2.849,0.0008,data/gc_data/2023-06-01/01JUN23_TAC_FID_54.RES,BA3A-150-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.088,6028.0315,763.853,0.2184,data/gc_data/2023-06-01/01JUN23_TAC_FID_40.RES,BA1B-250-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
